,research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,utility_rater02,original_translated
29,CES201606,1699,43,belt,riem dicht doen en dan kan je daar weer andere dingen aan hangen,riem dicht weer dingen hangen,belt close again hang things,4,fasten the belt and then you can hang other things on it
30,CES201606,437,15,belt,je kunt met een riem handen boeien,riem handen boeien,strap hands cuffs,5,you can use a belt to cuff hands
31,CES201606,264,13,belt,je kan een riem gebruiken om spieren mee te strekken en zo leniger te worden,riem spieren strekken leniger,belt muscles stretch more limber,4,you can use a belt to stretch muscles and so on to become more flexible
32,CES201606,269,13,belt,je kan een riem als tas gebruiken,riem tas,belt bag,3,you can use a belt as a bag
33,CES201606,218,12,belt,schoenen,schoenen,shoes,1,shoes
34,CES201606,977,23,belt,schoenveter,schoenveter,shoelace,2,shoelace
35,CES201606,1805,45,belt,schommel,schommel,swing set,1,swing
36,CES201606,1888,46,belt,schommel,schommel,swing set,1,swing
37,CES201606,762,19,belt,om iets mee te schuren,schuren,sand,1,to rub something with
38,CES201606,1880,46,belt,sekspeeltje,seksspeeltje,sex toy,5,sex toy
39,CES201606,2110,50,belt,op sexy wijze door je bilnaad halen,sexy wijze bilnaad halen,sexy buttocks,5,sexily pull it through your buttocks
40,CES201606,866,20,belt,als sierobject,sierobject,ornamental object,4,as a decorative object
41,CES201606,576,17,belt,iemand slaan,slaan,beat,5,hit someone
42,CES201606,754,19,belt,om mee te slaan,slaan,beat,5,to hit with
43,CES201606,868,20,belt,iemand ermee slaan,slaan,beat,5,hit someone with
44,CES201606,1406,35,belt,ermee slaan,slaan,beat,5,hit with
45,CES201606,1467,36,belt,mee slaan,slaan,beat,5,hit with
46,CES201606,1566,39,belt,iemand mee slaan,slaan,beat,5,hit someone with
47,CES201606,1647,42,belt,slaan,slaan,beat,5,hit
48,CES201606,1291,29,belt,sleeptouw,sleeptouw,tow rope,4,tow rope
49,CES201606,1463,36,belt,Als sling gebruiken voor je gebroken pols,sling gebroken pols,sling broken wrist,4,Use as a sling for your broken wrist
50,CES201606,757,19,belt,slinger van maken,slinger,garland,4,make a sling
51,CES201606,980,23,belt,slingeren aan een boom,slingeren boom,swing tree,3,swing from a tree
52,CES201606,867,20,belt,sorry ik werd afgeleid,sorry afgeleid,sorry distracted,0,sorry I got distracted
53,CES201606,1694,43,belt,spanband,spanband,tension strap,4,tension strap
54,CES201606,435,15,belt,spank materiaal,spank materiaal,spanking material,5,spank material
55,CES201606,2109,50,belt,spannen tussen twee hoogten en je hebt een waslijn,spannen tussen hoogten hebt waslijn,tension between heights you have clothesline,5,stretch between two heights and you have a clothesline
56,CES201606,1360,30,belt,spelden,spelden,pins,1,pins
57,CES201606,986,23,belt,in spelletje met over een touw heen springen,spelletje touw heen springen,game of skipping rope,3,in game with jumping over a rope
58,CES201606,1161,26,belt,sport: riemen stuktrekken,sport riemen stuk trekken,tearing sports belts,,sport: pulling belts to pieces
59,CES201606,988,23,belt,springtouw,springtouw,skipping rope,3,skipping rope
60,CES201606,1696,43,belt,springtouw,springtouw,skipping rope,3,skipping rope
61,CES201606,1289,29,belt,strop,strop,noose,,noose
62,CES201606,358,14,belt,in stukjes knippen en dan heb je confetti van leer,stukjes knippen confetti leer,pieces of cut confetti leather,2,cut into pieces and then you have leather confetti
63,CES201606,1949,47,belt,voor een tas als decoratie,tas decoratie,bag decoration,5,for a bag as decoration
64,CES201606,1999,48,belt,tas vastmakeen op fiets,tas vastmaken fiets,attach bag to bicycle,5,attach a bag to a bike
65,CES201606,664,18,belt,om een tassen handvat van te maken,tassen handvat,bags handle,5,to make a bag handle
66,CES201606,1887,46,belt,telefoonhoesje,telefoonhoesje,phone case,1,phone case
67,CES201606,978,23,belt,ipv tai rep(??),tiewrap,tie wrap,3,instead of tai rep(??)
68,CES201606,1292,29,belt,ty-rep,tiewrap,tie wrap,3,ty-rep
69,CES201606,1692,43,belt,tierap,tiewrap,tie wrap,3,tierap
70,CES201606,212,12,belt,touw,touw,rope,4,rope
71,CES201606,265,13,belt,als touw,touw,rope,4,as rope
72,CES201606,433,15,belt,touw,touw,rope,4,rope
73,CES201606,1108,25,belt,touw,touw,rope,4,rope
74,CES201606,1205,27,belt,touw,touw,rope,4,rope
75,CES201606,1248,28,belt,als touw,touw,rope,4,as rope
76,CES201606,1355,30,belt,touw,touw,rope,4,rope
77,CES201606,1803,45,belt,touw,touw,rope,4,rope
78,CES201606,1879,46,belt,touw,touw,rope,4,rope
79,CES201606,758,19,belt,om mee touw te trekken,touw trekken,pulling rope,4,for pulling rope
80,CES201606,975,23,belt,touwtrekken,touwtrekken,tug of war,4,tug of war
81,CES201606,1883,46,belt,V-snaar,v snaar,v string,3,V-belt
82,CES201606,1645,42,belt,Iets vast maken,vast,fix,0,To fasten something
83,CES201606,765,19,belt,om iets mee vast te binden,vast binden,tie,3,to tie something with
84,CES201606,1944,47,belt,om iets vast te binden,vast binden,tie,3,to tie something up
85,CES201606,870,20,belt,iets vastbinden,vastbinden,tie,3,to tie something up
86,CES201606,1646,42,belt,vastbinden,vastbinden,tie,3,to tie up
87,CES201606,2131.2,51,belt,vastbinden trekken,vastbinden trekken,tie down pull,3,to tie up
88,CES201606,1245,28,belt,iets vastmaken aan de riem,vastmaken riem,fasten belt,5,to fasten something to a belt
89,CES201606,1404,35,belt,iets ermee vastzetten,vastzetten,fasten,5,to fasten something with
90,CES201606,1365,30,belt,veer,veer,feather,1,a feather
91,CES201606,768,19,belt,om te versieren,versieren,decorate,3,to decorate
92,CES201606,1293,29,belt,versiersel,versiersel,decoration,3,a decoration
93,CES201606,1945.1,47,belt,vroeger,vroeger,earlier,0,in the past
94,CES201606,268,13,belt,als wapen,wapen,weapon,5,as a weapon
95,CES201606,353,14,belt,als wapen (er iemand heul hard mee slaan),wapen,weapon,5,as a weapon (to hit someone really hard with it)
96,CES201606,1288,29,belt,wapen,wapen,weapon,5,a weapon
97,CES201606,1527,38,belt,als wapen gebruiken,wapen,weapon,5,to use as a weapon
98,CES201606,582,17,belt,er weer een koe van maken,weer koe,cow again,0,to make a cow out of it again
99,CES201606,360,14,belt,iemand mee wurgen,wurgen,strangle,5,to strangle someone with
100,CES201606,663,18,belt,om iemand mee te wurgen,wurgen,strangle,5,to strangle someone with
101,CES201606,1246,28,belt,iemand wurgen met een riem,wurgen riem,strangle belt,5,to strangle someone with a belt
102,CES201606,2130.2,51,belt,zoals bundel hout,zoals bundel hout,such as bundle of wood,0,like a bundle of wood
103,CES201606,1243,28,belt,mijn zus mee te spenken,zus spanken,sister spanking,5,to strangle my sister with
104,CES201606,213,12,belt,zweep,zweep,whip,5,whip
105,CES201606,434,15,belt,zweep,zweep,whip,5,whip
106,CES201606,504,16,belt,zweep,zweep,whip,5,whip
107,CES201606,987,23,belt,zweep,zweep,whip,5,whip
108,CES201606,1110,25,belt,zweep,zweep,whip,5,whip
109,CES201606,1206,27,belt,zweep,zweep,whip,5,whip
110,CES201606,1495,37,belt,als zweep gebruiken,zweep,whip,5,to use as a whip
111,CES201606,1695,43,belt,zweep,zweep,whip,5,whip
112,CES201606,1800,45,belt,zweep,zweep,whip,5,whip
113,CES201606,1878,46,belt,zweep,zweep,whip,5,whip
114,CES201606,584,17,stick,iemand aaien,aaien,pet,3,to pet someone
115,CES201606,998,23,stick,iets aanwijzen,aanwijzen,assign,2,to point to something
116,CES201606,1653,42,stick,iets aanwijsen,aanwijzen,assign,2,to point to something
117,CES201606,2005,48,stick,iets aanwijzen,aanwijzen,assign,2,to point to something
118,CES201606,228,12,stick,een aanwijzer,aanwijzer,pointer,5,a pointer
119,CES201606,1502,37,stick,aanwijzer,aanwijzer,pointer,5,pointer
120,CES201606,787,19,stick,om iets af te dekken,af dekken,cover,1,to cover something
121,CES201606,992,23,stick,afbakening,afbakening,demarcation,5,demarcation
122,CES201606,776,19,stick,om een afbakening aan te duiden,afbakening duiden,indicate demarcation,5,to indicate a demarcation
123,CES201606,2147.1,51,stick,afscheiding,afscheiding,secretion,1,separation
124,CES201606,885,20,stick,doen alsof je erop kunt vliegen,alsof erop vliegen,as if flying on it,4,to pretend you can fly on it
125,CES201606,883,20,stick,doen alsof het een toverstaf is,alsof toverstaf,as if magic wand,5,pretend it is a magic wand
126,CES201606,2142.2,51,stick,appels uit appelboom,appels appelboom,apples apple tree,2,apples from an apple tree
127,CES201606,1167,26,stick,apporteren,apporteren,fetch,5,to retrieve
128,CES201606,1899,46,stick,bal,bal,ball,1,a ball
129,CES201606,591,17,stick,begraven,begraven,bury,3,to bury
130,CES201606,1605,40,stick,beaschilderen als kunsrvoorwerp,beschilderen kunstvoorwerp,painting art object,3,to paint a beaver as an art object
131,CES201606,1702,43,stick,bestek,bestek,specifications,1,specifications
132,CES201606,1368,30,stick,betonnenafgietsel in een mal,betonnen afgietsel mal,concrete casting mold,,concrete cast in a mold
133,CES201606,884,20,stick,als bezemsteel gebruiken,bezemsteel,broomstick,4,to use as a broomstick
134,CES201606,371,14,stick,op bijten als je heel veel pijn krijgt (als je been eraf wordt gezaagd zonder verdoving),bijten heel pijn krijgt,biting becomes very painful,2,to bite on when you are in a lot of pain (if your leg is sawn off without anesthesia)
135,CES201606,1367,30,stick,blaaspijpje,blaaspijpje,blowpipe,3,blowpipe
136,CES201606,1116,25,stick,boomerang,boemerang,boomerang,3,boomerang
137,CES201606,2011,48,stick,boomhut,boomhut,Treehouse,4,tree house
138,CES201606,2002,48,stick,boshut bouwen,boshut bouwen,build forest hut,4,to build a forest hut
139,CES201606,370,14,stick,als brandhout gebruiken,brandhout,firewood,4,to use as firewood
140,CES201606,510,16,stick,brandhout,brandhout,firewood,4,firewood
141,CES201606,2044,49,stick,brandstof,brandstof,fuel,3,fuel
142,CES201606,778,19,stick,om te breken,breken,break,4,to break
143,CES201606,2121,50,stick,breken,breken,break,4,to break
144,CES201606,2010,48,stick,brug bouwen,brug bouwen,build bridge,3,to build a bridge
145,CES201606,1164,26,stick,gebruiken om constructies mee te verstevingen,constructies verstevigen,strengthen structures,4,to use to reinforce structures
146,CES201606,2146,51,stick,dakje maken van stokken en doeken,dakje stokken doeken,roof sticks cloths,2,to make a roof from sticks and cloths
147,CES201606,586,17,stick,dansen,dansen,dancing,2,to dance
148,CES201606,1574,39,stick,als decoratie in huis,decoratie huis,decoration house,3,as decoration in house
149,CES201606,1742,44,stick,deegroller,deegroller,rolling pin,4,rolling pin
150,CES201606,2043,49,stick,degen,degen,epee,,epee
151,CES201606,1892,46,stick,deur dicht houden,deur dicht houden,keep door closed,2,to keep the door closed
152,CES201606,995,23,stick,een deur niet dicht laten vallen,deur niet dicht laten vallen,don't let door close,3,to prevent a door from closing
153,CES201606,1952,47,stick,deur tegen houden,deur tegen houden,stop door,3,to hold the door back
154,CES201606,367,14,stick,de deur mee vergrendelen,deur vergrendelen,lock door,2,to lock the door
155,CES201606,2129,50,stick,eenb deurklink tegenhouden,deurklink tegenhouden,stop door handle,3,to hold a doorknob back
156,CES201606,444,15,stick,deurstopper,deurstopper,door stopper,3,door stopper
157,CES201606,1115,25,stick,deurstopper,deurstopper,door stopper,3,door stopper
158,CES201606,675,18,stick,gebruiken om een dierenhok mee te maken,dieren hok,animal cage,3,to use to make an animal cage
159,CES201606,220,12,stick,een dildo,dildo,dildo,4,a dildo
160,CES201606,442,15,stick,dildo,dildo,dildo,4,dildo
161,CES201606,225,12,stick,een ding om gordijnen aan op te honge,ding gordijnen hangen,hanging thing curtains,2,a thing to hang curtains on
162,CES201606,1573,39,stick,dingen aan op te hangen,dingen hangen,things hang,2,to hang things on
163,CES201606,1061,24,stick,je kan er dingen aan ophangen,dingen ophangen,hanging things,2,to hang things on
164,CES201606,1572,39,stick,om in dingen te prikken,dingen prikken,things sting,2,to poke things in
165,CES201606,2145.2,51,stick,doek omheen,doek omheen,cloth around it,1,cloth around
166,CES201606,878,20,stick,je kan het doormidden breken,doormidden breken,break in half,4,you can break it in half
167,CES201606,595,17,stick,er een doos mee openmaken,doos openmaken,open box,3,to open a box with
168,CES201606,782,19,stick,mee te drummen,drummen,play drums,5,to drum with
169,CES201606,1902,46,stick,eetstokjes,eetstokjes,chopsticks,5,chopsticks
170,CES201606,1298,29,stick,eten,eten,eat,0,to eat
171,CES201606,222,12,stick,een fakker,fakkel,torch,3,a torch
172,CES201606,2124,50,stick,of fierljeppen,fierljeppen,canal vaulting,4,canal vaulting
173,CES201606,1481,36,stick,figuur mee leggen,figuur leggen,lay figure,1,to make a figure with
174,CES201606,1898,46,stick,frisbee,frisbee,frisbee,3,a frisbee
175,CES201606,1655,42,stick,in een gat steken,gat steken,poke hole,4,to stick in a hole
176,CES201606,366,14,stick,geluid maken,geluid,sound,2,to make a sound
177,CES201606,880,20,stick,de gezondheid van een boom aflezen,gezondheid boom aflezen,health tree reading,1,to read the health of a tree
178,CES201606,1744,44,stick,Gong mee slaan,gong slaan,strike gong,5,to hit a gong
179,CES201606,589,17,stick,gooien,gooien,throw,5,to throw
180,CES201606,879.1,20,stick,ermee gooien,gooien,throw,5,to throw with
181,CES201606,1649,42,stick,gooien,gooien,throw,5,to throw
182,CES201606,881,20,stick,gooien voor de hond,gooien hond,throwing dog,5,to throw for the dog
183,CES201606,1703,43,stick,gordijnen rode,gordijnen rode,curtains rod,5,red curtains
184,CES201606,1956,47,stick,als gordijnroede,gordijnroede,curtain rod,5,as a curtain rod
185,CES201606,1901,46,stick,gril spit,gril spit,grill spit,5,grill spit
186,CES201606,2126.1,50,stick,in de grond prikken,grond prikken,dig ground,3,to poke in the ground
187,CES201606,1739,44,stick,In de grond steken om een plaats aan te duiden,grond steken plaats duiden,ground sticking place indicate,5,to stick in the ground to indicate a place
188,CES201606,1740,44,stick,Iets mee in de grond tekenen,grond tekenen,drawing ground,5,to draw something in the ground with
189,CES201606,1165.1,26,stick,gebruiken om mee te handwerken (vlechten,handwerken vlechten,needlework braiding,2,to use to to do (braiding
190,CES201606,2127,50,stick,He-man nadoen,He Man nadoen,Imitate He Man,5,Imitate He-man
191,CES201606,2144,51,stick,heel veel spelletjes en verbeelding: apporteren met de honden of toverstok van fee,heel spelletjes verbeelding apporteren honden toverstok fee,very games imagination fetch dogs magic wand fairy,5,lots of games and imagination: retrieve with dogs or fairy wand
192,CES201606,587,17,stick,er over heen springen,heen springen,jump around,5,jump over
193,CES201606,1410,35,stick,als hefboom gebruiken,hefboom,lever,5,use as lever
194,CES201606,2147.2,51,stick,hekken voetbaldoel,hekken voetbaldoel,fences football goal,4,fence football goal
195,CES201606,1705,43,stick,heksje mee spelen,heksje spelen,play witch,4,play witches with
196,CES201606,2007,48,stick,hengel maken,hengel,fishing rod,5,make fishing rod
197,CES201606,679,18,stick,hockeyen,hockeyen,play hockey,4,play hockey
198,CES201606,1252,28,stick,als hockeystik,hockeystick,hockey stick,4,as hockey stick
199,CES201606,1477,36,stick,Hond mee slaan,hond slaan,hitting dog,5,hit dog with
200,CES201606,1254,28,stick,om honden mee te  vermaken,honden vermaken,entertain dogs,3,to entertain dogs with
201,CES201606,1604,40,stick,hondenspeelgoed,hondenspeelgoed,dog toys,5,dog toy
202,CES201606,1900,46,stick,hondenspeeltje,hondenspeeltje,dog toy,5,dog toy
203,CES201606,507,16,stick,honkbalknuppel,honkbalknuppel,baseball bat,4,baseball bat
204,CES201606,1253,28,stick,als honkbalknupel,honkbalknuppel,baseball bat,4,as baseball bat
205,CES201606,2142.1,51,stick,iets hoogs wegkrijgen,hoog wegkrijgen,get high,3,get something high away
206,CES201606,1706,43,stick,hoogspringen,hoogspringen,high jump,4,high jump
207,CES201606,777,19,stick,om een hoogte aan te geven,hoogte geven,give information,1,to indicate a height
208,CES201606,1213,27,stick,houdfiguur uit slijpen,houdfiguur slijpen,sharpening holding figure,1,grind out a stick figure
209,CES201606,2141,51,stick,hulpmiddel lopen,hulpmiddel lopen,walking aid,5,walking aid
210,CES201606,671,18,stick,om een hut mee te bouwen,hut bouwen,build hut,3,to build a hut with
211,CES201606,785,19,stick,om een hut mee te bouwen,hut bouwen,build hut,3,to build a hut with
212,CES201606,993,23,stick,een hut bouwen,hut bouwen,build hut,3,build a hut
213,CES201606,1211,27,stick,hut bouwen,hut bouwen,build hut,3,build a hut
214,CES201606,1571,39,stick,om een hut mee te bouwen,hut bouwen,build hut,3,to build a hut with
215,CES201606,882,20,stick,een ijsvogel op laten landen,ijsvogel laten landen,landing kingfisher,5,let a kingfisher land on
216,CES201606,1366,30,stick,ijzeren buis,ijzeren buis,iron pipe,3,iron pipe
217,CES201606,672,18,stick,om een kano mee te bouwen,kano bouwen,build canoe,3,to build a canoe with
218,CES201606,994,23,stick,iets kapot slaan,kapot slaan,smash,2,break something
219,CES201606,224,12,stick,een kapstop,kapstok,coat rack,4,a coat stopper
220,CES201606,1499,37,stick,kapstok,kapstok,coat rack,4,coat rack
221,CES201606,1700,43,stick,kapstok,kapstok,coat rack,4,coat rack
222,CES201606,1954,47,stick,iets van de kast halen,kast halen,get closet,1,take something off the cupboard
223,CES201606,1369,30,stick,keramiek,keramiek,ceramics,1,ceramics
224,CES201606,1701,43,stick,kettinkjes houer,kettinkjes houder,necklace holder,2,chains holder
225,CES201606,594,17,stick,er een kip op zetten,kip zetten,put chicken,1,put a chicken on it
226,CES201606,1955,47,stick,als kledingrek,kledingrek,clothing rack,4,as a clothes rack
227,CES201606,1483,36,stick,als klem gebruike,klem,clamp,3,use as a clamp
228,CES201606,1026,22,stick,knapzakje mee maken,knapzakje,knapsack,1,make a knapsack with
229,CES201606,373,14,stick,mee krabben op je rug als je jeuk hebt,krabben rug jeuk hebt,scratch your back itch,5,scratch your back when you have an itch
230,CES201606,226,12,stick,een krabber,krabber,scraper,4,a scraper
231,CES201606,1808,45,stick,kunst,kunst,art,3,art
232,CES201606,1168,26,stick,kunstwerk van maken,kunstwerk,artwork,3,make a work of art
233,CES201606,877,20,stick,en dan lakken,lakken,lacquer,1,and then varnish
234,CES201606,783,19,stick,om een lengte aan te geven,lengte geven,give length,3,to indicate a length
235,CES201606,1570,39,stick,om op te leunen,leunen,lean,2,to lean on
236,CES201606,1654,42,stick,als limbo gebruiken,limbo,limbo,5,use as limbo
237,CES201606,2128,50,stick,limbodansen,limbo dansen,limbo dancing,5,limbo dancing
238,CES201606,440,15,stick,limbo koord,limbo koord,limbo cord,5,limbo cord
239,CES201606,1707,43,stick,limbo stok,limbo stok,limbo stick,5,limbo stick
240,CES201606,771,19,stick,om mee te lopen,lopen,walk,5,to walk with
241,CES201606,779,19,stick,om op te lopen,lopen,walk,5,to walk on
242,CES201606,446,15,stick,marionette,marionet,puppet,3,marionette
243,CES201606,1738,44,stick,Martelwerktuig,martelwerktuig,instrument of torture,5,torture instrument
244,CES201606,674,18,stick,om meubels mee te bouwen \,meubels bouwen,building furniture,3,to build furniture with \
245,CES201606,1897,46,stick,moordwapen*,moordwapen,murder weapon,5,murder weapon*
246,CES201606,2042,49,stick,moordwapen,moordwapen,murder weapon,5,murder weapon
247,CES201606,1896,46,stick,moorwapen,moorwapen,murder weapon,2,murder weapon
248,CES201606,1482,36,stick,motorkap open houden,motorkap open houden,keep hood open,5,keep the hood open
249,CES201606,1953,47,stick,om een muis van onder de bank weg te jagen,muis onder bank weg jagen,chase mouse away from under couch,2,to chase a mouse from under the couch
250,CES201606,377.2,14,can,met zo'n touwtje er tussen),n touwtje tussen,a string between them,5,with a string between them)
251,CES201606,890,20,can,het natekenen,natekenen,copy,1,copying
252,CES201606,602,17,can,neerleggen,neerleggen,put down,1,putting down
253,CES201606,1217,27,can,neptelefoon,nep telefoon,fake phone,1,fake phone
254,CES201606,900,20,can,omver gooien op de kermis,omver gooien kermis,knock over fair,3,knock over at the fair
255,CES201606,515,16,can,onderzetter,onderzetter,coaster,2,coaster
256,CES201606,893,20,can,openen,openen,open,4,open
257,CES201606,2135.2,50,can,openen en lekker coladouchen,openen lekker cola douchen,open nice cola shower,4,open and have a nice cola shower
258,CES201606,1170,26,can,openknippen en sierraad van maken,openknippen sieraad,cut open jewelry,3,cut open and make a jewel
259,CES201606,601,17,can,opgaven,opgaven,assignments,1,assignments
260,CES201606,603,17,can,oprapen,oprapen,pick up,1,pick up
261,CES201606,1958,47,can,opslag pennen,opslag pennen,storage pens,5,pen storage
262,CES201606,1906,46,can,opslag tank,opslag tank,storage tank,5,storage tank
263,CES201606,385,14,can,als opvanger voor de regen als het lekt,opvangen regen lekt,collecting rain leaks,5,as a catch for the rain when it leaks
264,CES201606,1373,30,can,pan met deksel,pan deksel,pan lid,2,pan with lid
265,CES201606,1027,22,can,pennenbakje,pennenbakje,pencil box,3,pen holder
266,CES201606,276,13,can,pennendoos,pennendoos,pencil box,3,pen box
267,CES201606,2139.2,50,can,plank erop en skateboarden,plank erop skateboarden,skateboard on it,1,put a shelf on top and skateboard
268,CES201606,1018,23,can,plantenbak,plantenbak,planter,4,planter
269,CES201606,1957,47,can,plantenbak,plantenbak,planter,4,planter
270,CES201606,2019,48,can,plantenbak,plantenbak,planter,4,planter
271,CES201606,1372,30,can,plasic bakje met deksel,plastic bakje deksel,plastic container lid,5,plastic container with lid
272,CES201606,1378,30,can,plastic zakje die je kan afsluiten,plastic zakje afsluiten,close plastic bag,2,plastic bag that you can close
273,CES201606,382,14,can,platstampen en gebruiken bij ijshockey,3,flattening ice hockey,4,smash flat and use for ice hockey
274,CES201606,1487,36,can,Platslaan en voorwerpen van maken,platslaan voorwerpen,smashing objects,3,Flatten and make objects
275,CES201606,1374,30,can,pot met deksel,pot deksel,jar lid,2,pot with lid
276,CES201606,1014.2,23,can,praten erdoor,praten erdoor,talk through it,5,talk through
277,CES201606,790,19,can,om proberen kapot te maken,proberen kapot,try break,3,try to break
278,CES201606,284,13,can,het raam open houden,raam open houden,keep window open,2,keep the window open
279,CES201606,233,12,can,raketmotor,raketmotor,rocket engine,3,rocket engine
280,CES201606,458,15,can,rammelaar (klipje in blikje),rammelaar,rattle,5,rattle (clip in can)
281,CES201606,1412,35,can,als rammelaar gebruiken,rammelaar,rattle,5,use as a rattle
282,CES201606,889,20,can,reclame erop maken,reclame erop,advertising on it,4,advertise on it
283,CES201606,681,18,can,recycelen,recyclen,recycle,5,recycle
284,CES201606,887,20,can,het recyclen,recyclen,recycle,5,recycle
285,CES201606,2156.1,51,can,rollen,rollen,roll,4,roll
286,CES201606,2137,50,can,rollen als bowlingbal,rollen bowlingbal,rolling bowling ball,3,roll as a bowling ball
287,CES201606,605,17,can,een ruit ermee ingooien,ruit ingooien,smash window,2,smash a window with it
288,CES201606,2155.1,51,can,scherp,scherp,sharp,0,sharp
289,CES201606,1713,43,can,scherpe kant gebruiken om papier te snijden,scherpe kant papier snijden,sharp edge of paper cutting,3,use sharp edge to cut paper
290,CES201606,1535,38,can,schietobject,schietobject,shooting object,2,shooting object
291,CES201606,2135.1,50,can,schudden,schudden,shake,3,shake
292,CES201606,896,20,can,schudden voor openen,schudden openen,shake open,3,shake before opening
293,CES201606,1912,46,can,seksspeeltje,seksspeeltje,sex toy,3,sex toy
294,CES201606,453,15,can,sieraad,sieraad,ornament,2,ornament
295,CES201606,1710,43,can,sierraad,sieraad,ornament,2,ornament
296,CES201606,381,14,can,gebruiken als sieradendoosje,sieradendoosje,jewelry box,3,use as a jewelry box
297,CES201606,1063.2,24,can,sinterklaassurprises enzo,Sinterklaas surprises enzo,St. Nicolas surprises and such,2,sinterklaas surprises etc.
298,CES201606,457,15,can,sleutelhanger (met het klipje van het blikje),sleutelhanger,keychain,1,key ring ( with the clip of the can)
299,CES201606,517,16,can,slingers,slingers,garlands,1,streamers
300,CES201606,2014,48,can,mee snijden,snijden,cut,2,cut with
301,CES201606,2155.2,51,can,snijden,snijden,cut,2,cut
302,CES201606,1124,25,can,soepkom,soepkom,soup bowl,4,soup bowl
303,CES201606,1962,47,can,spaarpot,spaarpot,piggy bank,5,money box
304,CES201606,452,15,can,speelgoed,speelgoed,toys,3,toys
305,CES201606,514,16,can,speelgoed,speelgoed,toys,3,toys
306,CES201606,2013,48,can,speelgoed maken (auto),speelgoed,toys,3,make toys (car)
307,CES201606,1411,35,can,speelgoed ervan maken,speelgoed ervan,toys of it,3,make toys out of them
308,CES201606,1488,36,can,speelgoed mee maken voor onder je voeten,speelgoed onder voeten,toys under feet,3,make toys for under your feet
309,CES201606,794,19,can,als spel om om te schieten,spel schieten,shooting game,3,as a game to shoot over
310,CES201606,450,15,can,spiegel,spiegel,mirror,2,mirror
311,CES201606,1414,35,can,spullen in bewaren,spullen bewaren,store things,5,store stuff in
312,CES201606,1656,42,can,Op staan,staan,stand,1,stand up
313,CES201606,680,18,can,de straat mee vervuilen,straat vervuilen,pollute street,5,pollute the street with
