response_id,source,object,original_translated,text,utility_rater02,cluster,center_dist,number_words,cluster_response
4256,additional,belt,design car,design car,1,22,0.3117299973964691,2,design car
3340,additional,belt,design city,design city,1,22,0.3166071772575378,2,design car
3292,additional,belt,design website,design website,1,22,0.3190032541751861,2,design car
4255,additional,belt,construct skyscraper,construct skyscraper,1,23,0.3014363646507263,2,construct skyscraper
4011,additional,belt,design skyscraper,design skyscraper,1,23,0.3445111513137817,2,construct skyscraper
4017,additional,belt,build spaceship,build spaceship,1,23,0.3523194491863251,2,construct skyscraper
3306,additional,belt,build rocket,build rocket,1,23,0.3755951523780823,2,construct skyscraper
3673,additional,belt,plant tree,plant tree,1,24,0.2769591808319092,2,plant tree
2621,additional,belt,make tree,make tree,1,24,0.2897028028964996,2,plant tree
2001,human,belt,attach tree to pole,attach tree pole,5,24,0.3451005518436432,3,plant tree
2912,additional,belt,garden,garden,1,25,0.3634467124938965,1,garden
2599,additional,belt,vegetable,vegetable,1,25,0.3723683059215545,1,garden
2600,additional,belt,fruit,fruit,1,25,0.3819171488285064,1,garden
2899,additional,belt,banana,banana,1,25,0.3926070034503937,1,garden
2913,additional,belt,plant seeds,plant seeds,1,25,0.4270690381526947,2,garden
6734,additional,belt,water your plants,water plants,1,25,0.4354070723056793,2,garden
3310,additional,belt,hunt for treasure,hunt treasure,1,26,0.2976123094558716,2,hunt treasure
3323,additional,belt,mine for gold,mine gold,1,26,0.2976123094558716,2,hunt treasure
1466,human,belt,to capture someone,capture,4,27,0.3078815340995788,1,capture
4274,additional,belt,capture star,capture star,1,27,0.3579771518707275,2,capture
578,human,belt,pick up,pick,3,27,0.3685684204101562,1,capture
2914,additional,belt,harvest,harvest,1,27,0.3854027092456817,1,capture
2901,additional,belt,dream catcher,dream catcher,1,27,0.4042522311210632,2,capture
4264,additional,belt,milk cows,milk cows,1,28,0.2633026540279388,2,milk cows
4265,additional,belt,milk goats,milk goats,1,28,0.2633026540279388,2,milk cows
4279,additional,belt,discover new animal,discover new animal,1,29,0.2732715606689453,3,discover new animal
4278,additional,belt,discover new plant,discover new plant,1,29,0.2930344641208648,3,discover new animal
4276,additional,belt,discover planet,discover planet,1,29,0.303487629,2,discover new animal
3313,additional,belt,clone animal,clone animal,1,30,0.2751305103302002,2,clone animal
3994,additional,belt,adopt pet,adopt pet,1,30,0.2751305103302002,2,clone animal
3665,additional,belt,cook meal,cook meal,1,31,0.3665423095226288,2,cook meal
2595,additional,belt,food,food,1,31,0.3727401793003082,1,cook meal
2598,additional,belt,meat,meat,1,31,0.4082595109939575,1,cook meal
3680,additional,belt,make sandwich,make sandwich,1,31,0.4180677831172943,2,cook meal
4254,additional,belt,make sushi,make sushi,1,31,0.4506376683712005,2,cook meal
6732,additional,belt,make toast,make toast,1,31,0.457030714,2,cook meal
4014,additional,belt,cook pasta,cook pasta,1,31,0.4630748629570007,2,cook meal
6750,additional,belt,reheat leftovers,reheat leftovers,1,31,0.4664738774299621,2,cook meal
3322,additional,belt,make ice cream,make ice cream,1,31,0.4731940329074859,3,cook meal
2615,additional,belt,soap,soap,1,32,0.3901031017303467,1,soap
762,human,belt,to rub something with,sand,3,32,0.4072881639003753,1,soap
3271,additional,belt,bake,bake,1,32,0.4305610358715057,1,soap
2629,additional,belt,oil,oil,1,32,0.4351789057254791,1,soap
2596,additional,belt,bb cream,bb cream,1,32,0.4362664818763733,2,soap
2919,additional,belt,pimple,pimple,1,32,0.4383969604969024,1,soap
3670,additional,belt,take shower,take shower,1,32,0.4400528073310852,2,soap
2591,additional,belt,deodorant,deodorant,1,32,0.4438004791736603,1,soap
2918,additional,belt,gua sha,gua sha,1,32,0.485941082,2,soap
1998,human,belt,to make the highest pile,highest pile,2,32,0.4943912327289581,2,soap
2590,additional,belt,perfume,perfume,1,33,0.1586911529302597,1,perfume
4271,additional,belt,make perfume,make perfume,1,33,0.1586911529302597,2,perfume
6763,additional,belt,mix ingredients,mix ingredients,2,34,0.2358893603086471,2,mix ingredients
4258,additional,belt,mix cocktail,mix cocktail,1,34,0.2358893752098083,2,mix ingredients
6757,additional,belt,filter air,filter air,1,35,0.3462683856487274,2,filter air
6751,additional,belt,purify air,purify air,1,35,0.3594530820846557,2,filter air
4257,additional,belt,clean aquarium,clean aquarium,1,35,0.4312366247177124,2,filter air
3991,additional,belt,brush your teeth,brush teeth,1,35,0.4517246186733246,2,filter air
3669,additional,belt,paint house,paint house,1,36,0.3142240345478058,2,paint house
3685,additional,belt,clean house,clean house,1,36,0.3316437005996704,2,paint house
6733,additional,belt,cool your house,cool house,1,36,0.3443570733070373,2,paint house
320,additional,belt,air conditioner,air conditioner,1,37,0.2809185683727264,2,air conditioner
6758,additional,belt,function as an air conditioner,function air conditioner,1,37,0.2871170938014984,3,air conditioner
6738,additional,belt,control home appliances,control home appliances,1,37,0.3894199132919311,3,air conditioner
4263,additional,belt,make pots,make pots,1,38,0.2454519569873809,2,make pots
3330,additional,belt,make pottery,make pottery,1,38,0.3289506733417511,2,make pots
327,additional,belt,pot,pot,1,38,0.3425760567188263,1,make pots
3677,additional,belt,brew coffee,brew coffee,1,39,0.2145027965307235,2,brew coffee
3339,additional,belt,make coffee,make coffee,1,39,0.2885449826717376,2,brew coffee
4037,additional,belt,brew beer,brew beer,1,39,0.3434016406536102,2,brew coffee
6725,additional,belt,boil water,boil water,1,40,0.2978122234344482,2,boil water
3336,additional,belt,distill water,distill water,1,40,0.3577340841293335,2,boil water
6756,additional,belt,filter water,filter water,1,40,0.3698998987674713,2,boil water
2608,additional,belt,kettle,kettle,1,40,0.3985439538955688,1,boil water
4013,additional,belt,write song,write song,1,41,0.3416462242603302,2,write song
3287,additional,belt,compose music,compose music,1,41,0.3502302169799804,2,write song
4262,additional,belt,write poetry,write poetry,1,41,0.4020700454711914,2,write song
3667,additional,belt,write novel,write novel,1,41,0.4361742436885834,2,write song
4242,additional,belt,compose symphony,compose symphony,1,41,0.4373196959495544,2,write song
4026,additional,belt,write autobiography,write autobiography,1,41,0.4485502541065216,2,write song
3274,additional,belt,piano,piano,1,42,0.3000848591327667,1,piano
3284,additional,belt,play harp,play harp,1,42,0.3137677013874054,2,piano
3277,additional,belt,harp,harp,1,42,0.3181768655776977,1,piano
3281,additional,belt,play piano,play piano,1,42,0.3419581949710846,2,piano
3276,additional,belt,cello,cello,1,43,0.1501167267560959,1,cello
3283,additional,belt,play cello,play cello,1,43,0.1501167267560959,2,cello
3278,additional,belt,ukulele,ukulele,1,44,0.2954002022743225,1,ukulele
3286,additional,belt,play banjo,play banjo,1,44,0.3067164719104767,2,ukulele
3279,additional,belt,banjo,banjo,1,44,0.3106670081615448,1,ukulele
3285,additional,belt,play ukulele,play ukulele,1,44,0.3201472163200378,2,ukulele
4020,additional,belt,speak language,speak language,1,45,0.2912829518318176,2,speak language
4002,additional,belt,teach language,teach language,1,45,0.3464331924915313,2,speak language
4235,additional,belt,speak foreign language,speak foreign language,1,45,0.3520529866218567,3,speak language
3681,additional,belt,learn new language,learn new language,1,45,0.3725437223911285,3,speak language
4030,additional,belt,speak to animals,speak animals,1,45,0.3972469568252563,2,speak language
6731,additional,belt,talk to someone through it,talk someone,1,45,0.4133538901805877,2,speak language
4273,additional,belt,speak sign language,speak sign language,1,45,0.4168035686016083,3,speak language
4051,additional,belt,study english,study english,1,45,0.441576213,2,speak language
3316,additional,belt,give TED talk,give ted talk,1,45,0.4886992275714874,3,speak language
4251,additional,belt,translate ancient texts,translate ancient texts,1,46,0.1842984855175018,3,translate ancient texts
4252,additional,belt,translate texts,translate texts,1,46,0.1842985,2,translate ancient texts
2896,additional,belt,read,read,1,47,0.2956981062889099,1,read
3668,additional,belt,read book,read book,1,47,0.3086426258087158,2,read
2620,additional,belt,e-reader,reader,1,47,0.3288111090660095,1,read
979,human,belt,bookmark,bookmark,5,47,0.4020958542823791,1,read
2619,additional,belt,book,book,1,47,0.4026361405849457,1,read
4034,additional,belt,read braille,read braille,1,47,0.4441327154636383,2,read
4009,additional,belt,read someone's mind,read someone mind,1,47,0.4620890915393829,3,read
2889,additional,belt,clock,clock,1,48,0.2359506040811538,1,clock
2000,human,belt,to hang a clock on,hang clock,4,48,0.2904321253299713,2,clock
2890,additional,belt,alarm clock,alarm clock,1,48,0.3087556064128876,2,clock
2891,additional,belt,grandfather clock,grandfather clock,1,48,0.3219379186630249,2,clock
3328,additional,belt,tell time,tell time,1,49,0.3146147727966308,2,tell time
4015,additional,belt,stop time,stop time,1,49,0.3179276883602142,2,tell time
3990,additional,belt,travel through time,travel time,1,49,0.3335413634777069,2,tell time
3682,additional,belt,get haircut,get haircut,1,50,0.1898187398910522,2,get haircut
4027,additional,belt,cut hair,cut hair,1,50,0.214254692,2,get haircut
4028,additional,belt,give haircut,give haircut,1,50,0.2149648517370224,2,get haircut
2904,additional,belt,open SIM slot,open sim slot,1,51,0.1122736185789108,3,open sim slot
2905,additional,belt,open SIM slot on phone,open sim slot phone,1,51,0.1122736185789108,4,open sim slot
6715,additional,belt,make phone call,make phone call,1,52,0.3150592148303985,3,make phone call
6716,additional,belt,make call,make call,1,52,0.3191411197185516,2,make phone call
2920,additional,belt,bell,bell,1,52,0.3423617780208587,1,make phone call
3311,additional,belt,send text message,send text message,1,52,0.4259137213230133,3,make phone call
2921,additional,belt,jinglebell,jinglebell,1,52,0.4387359023094177,1,make phone call
3671,additional,belt,watch movie,watch movie,1,53,0.3394530415534973,2,watch movie
4237,additional,belt,make movie,make movie,2,53,0.3612979352474212,2,watch movie
6717,additional,belt,watch TV series,watch tv series,1,53,0.3962547481060028,3,watch movie
3694,additional,belt,edit film,edit film,1,53,0.4305515885353088,2,watch movie
6730,additional,belt,broadcast live on TV,broadcast live tv,1,53,0.4363987445831299,3,watch movie
3674,additional,belt,sing song,sing song,1,54,0.280402273,2,sing song
4240,additional,belt,sing opera,sing opera,1,54,0.280402273,2,sing song
6718,additional,belt,listen to music,listen music,1,55,0.366378903,2,listen music
576,human,belt,hit someone,beat,5,55,0.386773944,1,listen music
359,human,belt,to make a sound,sound,4,55,0.3935074210166931,1,listen music
4016,additional,belt,meditate,meditate,2,55,0.4281353652477264,1,listen music
3695,additional,belt,get massage,get massage,1,55,0.4484317600727081,2,listen music
4243,additional,belt,file taxes,file taxes,1,56,0.3576583564281463,2,file taxes
6722,additional,belt,upload files to it,upload files,1,56,0.3860674798488617,2,file taxes
3693,additional,belt,write resume,write resume,1,56,0.3977737426757812,2,file taxes
2597,additional,belt,key,key,1,57,0.3833601772785187,1,key
6761,additional,belt,host meeting,host meeting,1,57,0.4157173633575439,2,key
3302,additional,belt,print document,print document,1,57,0.4220417439937591,2,key
2894,additional,belt,photo,photo,1,57,0.4290466010570526,1,key
330,additional,belt,cabinet,cabinet,1,57,0.4294350445270538,1,key
3993,additional,belt,vote in election,vote election,1,57,0.4567255675792694,2,key
6760,additional,belt,host zoom call,host zoom call,1,57,0.4576363861560821,3,key
2609,additional,belt,hob,hob,1,57,0.4660621285438537,1,key
4045,additional,belt,manage business,manage business,1,57,0.4790287613868713,2,key
1645,human,belt,fasten something,fix,4,58,0.3852960467338562,1,fix
2039,human,belt,to save someone's life,save someone life,4,58,0.4322845637798309,3,fix
1204,human,belt,stop bleeding,stop bleeding,5,58,0.4367395639419555,2,fix
4012,additional,belt,stop hurricane,stop hurricane,1,58,0.4394448101520538,2,fix
2133,human,belt,put under something low to get something out from under it,low stop get underneath,4,58,0.4526899456977844,4,fix
4021,additional,belt,defuse bomb,defuse bomb,1,58,0.4626294672489166,2,fix
3318,additional,belt,make vaccine,make vaccine,1,58,0.5009972453117371,2,fix
4039,additional,belt,fix leaky faucet,fix leaky faucet,2,58,0.5078626871109009,3,fix
3289,additional,belt,perform surgery,perform surgery,1,59,0.1926766782999038,2,perform surgery
6741,additional,belt,conduct surgery,conduct surgery,1,59,0.1926766782999038,2,perform surgery
3308,additional,belt,raise child,raise child,1,60,0.3054574728012085,2,raise child
4018,additional,belt,deliver baby,deliver baby,1,60,0.3054574728012085,2,raise child
1883,human,belt,V-belt,string,1,61,0.3057511746883392,1,string
244,additional,belt,Yoyo string,yoyo string,1,61,0.3239330053329468,2,string
272,additional,belt,Wind-up toy string,wind toy string,1,61,0.3377712666988373,3,string
251,additional,belt,Yo-yo string,yo yo string,1,61,0.3432983458042145,3,string
289,additional,belt,Toy airplane string,toy airplane string,1,61,0.3505013585090637,3,string
309,additional,belt,Umbrella string,umbrella string,1,61,0.3776546716690063,2,string
291,additional,belt,Kite string reel,kite string reel,1,61,0.3811636567115783,3,string
219,additional,belt,String for a tennis racket,string tennis racket,1,61,0.3887472152709961,3,string
207,additional,belt,Archery bowstring,archery bowstring,1,61,0.3890569508075714,2,string
190,additional,belt,Substitute for a guitar string,substitute guitar string,1,61,0.3970178961753845,3,string
212,additional,belt,Substitute for a violin bow,substitute violin bow,1,61,0.4511610269546509,3,string
1464,human,belt,to use for a dog walk,walking dog,5,62,0.2593736350536346,2,walking dog
4023,additional,belt,walk dog,walk dog,2,62,0.2787449061870575,2,walking dog
1529,human,belt,to use as a dog leash,dog leash,5,62,0.309792012,2,walking dog
1494,human,belt,to use a dog collar,collar dog,5,62,0.4138059616088867,2,walking dog
4281,additional,belt,walk on moon,walk moon,1,62,0.4258694052696228,2,walking dog
301,additional,belt,Hiker’s walking stick,hiker walking stick,1,62,0.4490119218826294,3,walking dog
266,human,belt,to use as a necklace,chain,5,63,0.2696972191333771,1,chain
235,additional,belt,Substitute for a bike chain,substitute bike chain,1,63,0.2916613817214966,3,chain
256,additional,belt,Ball and chain,ball chain,1,63,0.3088788390159607,2,chain
206,additional,belt,Substitute for a chandelier chain,substitute chandelier chain,1,63,0.3099866211414337,3,chain
285,additional,belt,Velcro strap,velcro strap,1,64,0.3192568719387054,2,velcro strap
581,human,belt,to make a chain of straps,chain straps,5,64,0.3355114459991455,2,velcro strap
1694,human,belt,tension strap,tension strap,4,64,0.341733307,2,velcro strap
1884,human,belt,to use a guitar strap,guitar strap,4,64,0.342505544,2,velcro strap
356,human,belt,to use a very long rope if you connect all the straps together,long rope makes straps together,4,64,0.3606447875499725,5,velcro strap
266,additional,belt,Kangaroo pouch strap,kangaroo pouch strap,1,64,0.3644832372665405,3,velcro strap
267,human,belt,you can use a belt to climb a tree,strap tree climbing,4,64,0.3692080378532409,3,velcro strap
262,additional,belt,Elephant harness,elephant harness,1,64,0.4234031736850738,2,velcro strap
3996,additional,belt,do laundry,laundry,1,65,0.2112067639827728,1,laundry
269,additional,belt,Laundry line,laundry line,1,65,0.2659653127193451,2,laundry
4033,additional,belt,fold laundry,fold laundry,1,65,0.2663504481315613,2,laundry
203,additional,belt,Clothesline,clothesline,1,66,0.2595450282096863,1,clothesline
2109,human,belt,tension between two heights and you have a clothesline,tension heights clothesline,5,66,0.3224374949932098,3,clothesline
214,additional,belt,Zip line,zip line,1,66,0.3760435283184051,2,clothesline
200,additional,belt,Power line,power line,1,66,0.3797082901000976,2,clothesline
217,additional,belt,Plumb line,plumb line,1,66,0.4084267616271972,2,clothesline
264,additional,belt,Clothespin,clothespin,1,66,0.4215905368328094,1,clothesline
209,additional,belt,Garden hose,garden hose,1,67,0.2315341830253601,2,garden hose
307,additional,belt,Watering hose,watering hose,1,67,0.245039478,2,garden hose
196,additional,belt,Fire hose,fire hose,1,67,0.2912887334823608,2,garden hose
199,additional,belt,Ladder rung,ladder rung,1,68,0.2795534133911133,2,ladder rung
210,additional,belt,Rope ladder,rope ladder,1,68,0.2796014845371246,2,ladder rung
218,additional,belt,Substitute for a fire escape ladder,substitute fire escape ladder,1,68,0.3114326596260071,4,ladder rung
304,additional,belt,Banister railing,banister railing,1,68,0.3835447132587433,2,ladder rung
284,additional,belt,Tent stake rope,tent stake rope,1,69,0.3408825993537903,3,tent stake rope
287,additional,belt,Garden trellis support,garden trellis support,1,69,0.3711403012275696,3,tent stake rope
308,additional,belt,Horseshoe stake,horseshoe stake,1,69,0.3770097494125366,2,tent stake rope
211,additional,belt,Hammock support,hammock support,1,69,0.3846914172172546,2,tent stake rope
212,human,belt,rope,rope,4,70,0.2537517547607422,1,rope
1291,human,belt,tow rope,tow rope,4,70,0.301011324,2,rope
261,additional,belt,Tugboat rope,tugboat rope,1,70,0.3152293264865875,2,rope
758,human,belt,to pull rope with,pulling rope,5,70,0.3250836730003357,2,rope
231,additional,belt,Rock climbing rope,rock climbing rope,1,70,0.3353134095668793,3,rope
187,additional,belt,Ski lift rope,ski lift rope,1,70,0.3487194776535034,3,rope
229,additional,belt,Substitute for a tow rope,substitute tow rope,1,70,0.35035333,3,rope
302,additional,belt,Sled rope,sled rope,1,70,0.3516609370708465,2,rope
226,additional,belt,Lifeboat rope,lifeboat rope,1,70,0.3542724847793579,2,rope
988,human,belt,skipping rope,skipping rope,4,70,0.3715121746063232,2,rope
241,additional,belt,Wrestling ring rope,wrestling ring rope,1,70,0.3729631602764129,3,rope
279,additional,belt,Sea anchor rope,sea anchor rope,1,70,0.3793121874332428,3,rope
986,human,belt,in a game with jumping over a rope,game skipping rope,5,70,0.3900380730628967,3,rope
227,additional,belt,Bungee jumping cord,bungee jumping cord,1,71,0.2841994166374206,3,bungee jumping cord
204,additional,belt,Bungee cord,bungee cord,1,71,0.2906321287155151,2,bungee jumping cord
1356,human,belt,to cord,cord,4,71,0.3071500062942505,1,bungee jumping cord
253,additional,belt,Parachute cord,parachute cord,1,71,0.3088003993034363,2,bungee jumping cord
267,additional,belt,Rowing machine cord,rowing machine cord,1,71,0.3647293150424957,3,bungee jumping cord
265,additional,belt,Model rocket launcher cord,model rocket launcher cord,1,71,0.377464086,4,bungee jumping cord
2616,additional,belt,cable,cable,1,72,0.3231559097766876,1,cable
195,additional,belt,Bridge suspension cable,bridge suspension cable,1,72,0.3352468907833099,3,cable
220,additional,belt,Construction crane cable,construction crane cable,1,72,0.347430944,3,cable
193,additional,belt,Space elevator cable,space elevator cable,1,72,0.3532384932041168,3,cable
250,additional,belt,Submarine cable,submarine cable,1,72,0.3645491003990173,2,cable
297,additional,belt,Electric fence wire,electric fence wire,1,72,0.4174215197563171,3,cable
276,additional,belt,Cheese slicer wire,cheese slicer wire,1,72,0.4239598512649536,3,cable
1805,human,belt,swing,swing set,2,73,0.2160532772541046,2,swing set
5218,additional,belt,double swing set,double swing set,2,73,0.2871371805667877,3,swing set
5213,additional,belt,playground swing set,playground swing set,2,73,0.2885348498821258,3,swing set
5215,additional,belt,swing apparatus,swing apparatus,2,73,0.3004631698131561,2,swing set
5216,additional,belt,backyward swing set,backyward swing set,2,73,0.3039095103740692,3,swing set
5214,additional,belt,swing,swing,2,73,0.3103508055210113,1,swing set
980,human,belt,swing from a tree,swing tree,4,73,0.3237746357917785,2,swing set
5217,additional,belt,toddler swing set,toddler swing set,2,73,0.3307838141918182,3,swing set
189,additional,belt,Trapeze artist's swing,trapeze artist swing,1,73,0.4205046594142914,3,swing set
3275,additional,belt,triangle,triangle,1,74,0.1969420313835144,1,triangle
3282,additional,belt,play triangle,play triangle,2,74,0.1969420462846756,2,triangle
3684,additional,belt,throw ball,throw ball,1,75,0.3526969850063324,2,throw ball
332,additional,belt,basketball,basketball,1,75,0.3541623950004577,1,throw ball
314,additional,belt,Basketball net,basketball net,1,75,0.3798569738864898,2,throw ball
333,additional,belt,volleyball,volleyball,1,75,0.3880913257598877,1,throw ball
334,additional,belt,football,football,1,75,0.3953642249107361,1,throw ball
577,human,belt,to throw,throw,5,75,0.4130898416042328,1,throw ball
292,additional,belt,Table tennis net,table tennis net,1,75,0.4274213314056396,3,throw ball
4035,additional,belt,play hockey,play hockey,1,75,0.4516825079917907,2,throw ball
3293,additional,belt,play chess,play chess,1,76,0.2197868824005127,2,play chess
4269,additional,belt,win chess tournament,win chess tournament,1,76,0.2197868824005127,3,play chess
3341,additional,belt,play video game,play video game,1,77,0.2619507610797882,3,play video game
6759,additional,belt,play virtual reality games,play virtual reality games,1,77,0.2619507610797882,4,play video game
4238,additional,belt,dance ballet,dance ballet,1,78,0.27815643,2,dance ballet
761,human,belt,to do a dance with,dance,3,78,0.2997036576271057,1,dance ballet
3326,additional,belt,perform ballet,perform ballet,1,78,0.3382386267185211,2,dance ballet
2040,human,belt,tie dance partners together for practice,dance partners tie together exercise,5,78,0.3560677766799927,5,dance ballet
759,human,belt,hang up and then limbo dance under,hang limbo dancing,4,78,0.4021048247814178,3,dance ballet
278,additional,belt,Trampoline spring,trampoline spring,1,79,0.1919653415679931,2,trampoline spring
242,additional,belt,Spring for a trampoline,spring trampoline,1,79,0.2188835144042968,2,trampoline spring
295,additional,belt,Diving board spring,diving board spring,1,79,0.3316761553287506,3,trampoline spring
4260,additional,belt,ski down mountain,ski mountain,1,80,0.2615951001644134,2,ski mountain
296,additional,belt,Ski pole,ski pole,1,80,0.3371671140193939,2,ski mountain
3691,additional,belt,climb mountain,climb mountain,1,80,0.362851083,2,ski mountain
238,additional,belt,Pole vault,pole vault,1,81,0.3799948990345001,2,pole vault
3337,additional,belt,perform gymnastics,perform gymnastics,1,81,0.3894426822662353,2,pole vault
236,additional,belt,Hula hoop,hula hoop,1,81,0.3942397236824035,2,pole vault
757,human,belt,make a sling,garland,4,81,0.4000530242919922,1,pole vault
989,human,belt,to use a fishing rod,fishing rod,2,82,0.2240040451288223,2,fishing rod
259,additional,belt,Fishing rod,fishing rod,1,82,0.2240040451288223,2,fishing rod
