research_id,response_id,object,original_response,respondent_id,cleaned_response,translated_response,originality_rater01,utility_rater01,originality_rater02,utility_rater02
NAT202402,16411,brick,paper brick art,111,paper art,paper art,2,1,,
NAT202402,16424,brick,coaster,112,coaster,coaster,2,5,,
NAT202402,16428,brick,chalkboard,112,chalkboard,chalkboard,3,3,,
NAT202402,16431,brick,paper brick art,112,paper art,paper art,2,1,,
NAT202402,16444,brick,coaster,113,coaster,coaster,2,5,,
NAT202402,16448,brick,chalkboard,113,chalkboard,chalkboard,3,3,,
NAT202402,16451,brick,paper brick art,113,paper art,paper art,2,1,,
NAT202402,16464,brick,coaster,114,coaster,coaster,2,5,,
NAT202402,16468,brick,chalkboard,114,chalkboard,chalkboard,3,3,,
NAT202402,16471,brick,paper brick art,114,paper art,paper art,2,1,,
NAT202402,16484,brick,coaster,115,coaster,coaster,2,5,,
NAT202402,16488,brick,chalkboard,115,chalkboard,chalkboard,3,3,,
NAT202402,16491,brick,paper brick art,115,paper art,paper art,2,1,,
NAT202402,16501,brick,coaster,116,coaster,coaster,2,5,,
NAT202402,16502,brick,chalkboard,116,chalkboard,chalkboard,3,3,,
NAT202402,16511,brick,paper brick art,116,paper art,paper art,2,1,,
NAT202402,16520,brick,coaster,117,coaster,coaster,2,5,,
NAT202402,16522,brick,chalkboard,117,chalkboard,chalkboard,3,3,,
NAT202402,16531,brick,paper brick art,117,paper art,paper art,2,1,,
NAT202402,16540,brick,coaster,118,coaster,coaster,2,5,,
NAT202402,16543,brick,chalkboard,118,chalkboard,chalkboard,3,3,,
NAT202402,16546,brick,paper brick art,118,paper art,paper art,2,1,,
NAT202402,16547,brick,paper brick model,118,paper model,paper model,3,0,,
NAT202402,16548,brick,paper brick puzzle,118,paper puzzle,paper puzzle,3,0,,
NAT202402,16549,brick,paper brick game,118,paper game,paper game,3,0,,
NAT202402,16550,brick,paper brick craft,118,paper craft,paper craft,2,1,,
NAT202402,16551,brick,paper brick diorama,118,paper diorama,paper diorama,3,0,,
NAT202402,16560,brick,coaster,119,coaster,coaster,2,5,,
NAT202402,16566,brick,chalkboard,119,chalkboard,chalkboard,3,3,,
NAT202402,16580,brick,coaster,120,coaster,coaster,2,5,,
NAT202402,16585,brick,chalkboard,120,chalkboard,chalkboard,3,3,,
NAT202402,16587,brick,paper brick for art,120,paper art,paper art,2,1,,
NAT202402,16590,brick,paper brick for crafts,120,paper crafts,paper crafts,2,1,,
NAT202402,16591,brick,puzzle,120,puzzle,puzzle,3,2,,
NAT202402,16605,brick,coaster,121,coaster,coaster,2,5,,
NAT202402,16609,brick,paper brick art,121,paper art,paper art,2,1,,
NAT202402,16611,brick,paper brick model,121,paper model,paper model,3,0,,
NAT202402,16620,brick,coaster,122,coaster,coaster,2,5,,
NAT202402,16621,brick,paper brick art,122,paper art,paper art,2,0,,
NAT202402,16629,brick,chalkboard,122,chalkboard,chalkboard,3,3,,
NAT202402,16631,brick,paper brick journal,122,paper journal,paper journal,3,0,,
NAT202402,16644,brick,coaster,123,coaster,coaster,2,5,,
NAT202402,16648,brick,chalkboard,123,chalkboard,chalkboard,3,3,,
NAT202402,16651,brick,paper brick art,123,paper art,paper art,2,1,,
NAT202402,16659,brick,coaster,124,coaster,coaster,2,5,,
NAT202402,16661,brick,letter organizer,124,letter organizer,letter organizer,3,2,,
NAT202402,16662,brick,chalkboard,124,chalkboard,chalkboard,3,3,,
NAT202402,16670,brick,paper brick puzzle,124,paper puzzle,paper puzzle,3,0,,
NAT202402,16682,brick,coaster,125,coaster,coaster,2,5,,
NAT202402,16685,brick,chalkboard,125,chalkboard,chalkboard,3,3,,
NAT202402,16690,brick,paper brick stamp,125,paper stamp,paper stamp,3,3,,
NAT202402,16703,brick,chalkboard,126,chalkboard,chalkboard,3,3,,
NAT202402,16705,brick,coaster,126,coaster,coaster,2,5,,
NAT202402,16709,brick,paper brick for art,126,paper art,paper art,2,1,,
NAT202402,16710,brick,whiteboard,126,whiteboard,whiteboard,3,0,,
NAT202402,16718,brick,coaster,127,coaster,coaster,2,5,,
NAT202402,16722,brick,mailbox post,127,mailbox post,mailbox post,1,2,,
NAT202402,16744,brick,puzzle piece,128,puzzle piece,puzzle piece,3,2,,
NAT202402,16746,brick,chalkboard,128,chalkboard,chalkboard,3,3,,
NAT202402,16748,brick,paper brick for kids,128,paper kids,paper kids,1,0,,
NAT202402,16761,brick,coaster,129,coaster,coaster,2,5,,
NAT202402,16762,brick,chalkboard,129,chalkboard,chalkboard,3,3,,
NAT202402,16766,brick,magnets,129,magnets,magnets,3,1,,
NAT202402,16787,brick,paper brick for art,130,paper art,paper art,2,1,,
NAT202402,16788,brick,puzzle,130,puzzle,puzzle,3,2,,
NAT202402,16789,brick,paper brick for storage,130,paper storage,paper storage,2,4,,
NAT202402,16791,brick,paper brick for decoration,130,paper decoration,paper decoration,2,1,,
NAT202402,16802,brick,coaster,131,coaster,coaster,2,5,,
NAT202402,16804,brick,magnets,131,magnets,magnets,3,1,,
NAT202402,16806,brick,paper brick for art,131,paper art,paper art,2,1,,
NAT202402,16818,brick,paper art,132,paper art,paper art,2,1,,
NAT202402,16823,brick,coaster,132,coaster,coaster,2,5,,
NAT202402,16829,brick,puzzle,132,puzzle,puzzle,3,2,,
NAT202402,16831,brick,paper brick-making craft,132,paper brickmaking craft,paper brickmaking craft,2,3,,
NAT202402,16840,brick,coaster,133,coaster,coaster,2,5,,
NAT202402,16843,brick,chalkboard,133,chalkboard,chalkboard,3,3,,
NAT202402,16845,brick,paper brick for art,133,paper art,paper art,2,1,,
NAT202402,16861,brick,coaster,134,coaster,coaster,2,5,,
NAT202402,16869,brick,magnets,134,magnets,magnets,3,1,,
NAT202402,16871,brick,puzzle,134,puzzle,puzzle,3,2,,
NAT202402,16883,brick,mailbox post,135,mailbox post,mailbox post,1,2,,
NAT202402,16885,brick,coaster,135,coaster,coaster,2,5,,
NAT202402,16887,brick,chalkboard,135,chalkboard,chalkboard,3,3,,
NAT202402,16903,brick,coaster,136,coaster,coaster,2,5,,
NAT202402,16905,brick,ruler,136,ruler,ruler,3,4,,
NAT202402,16920,brick,coaster,137,coaster,coaster,2,5,,
NAT202402,16923,brick,chalkboard,137,chalkboard,chalkboard,3,3,,
NAT202402,16940,brick,chalkboard,138,chalkboard,chalkboard,3,3,,
NAT202402,16941,brick,coaster,138,coaster,coaster,2,5,,
NAT202402,16944,brick,letter organizer,138,letter organizer,letter organizer,3,2,,
NAT202402,16948,brick,magnets,138,magnets,magnets,3,1,,
NAT202402,16957,brick,coaster,139,coaster,coaster,2,5,,
NAT202402,16968,brick,chalkboard,139,chalkboard,chalkboard,3,3,,
NAT202402,16981,brick,coaster,140,coaster,coaster,2,5,,
NAT202402,17001,brick,paper brick for kids,141,paper kids,paper kids,1,0,,
NAT202402,17009,brick,rubix cube,141,rubix cube,rubix cube,3,1,,
NAT202402,17010,brick,paper brick for diy crafts,141,paper crafts,paper crafts,2,1,,
NAT202402,17020,brick,coaster,142,coaster,coaster,2,5,,
NAT202402,17024,brick,mailbox,142,mailbox,mailbox,1,2,,
NAT202402,17031,brick,paper brick letter organizer,142,paper letter organizer,paper letter organizer,3,2,,
NAT202402,17040,brick,chalkboard-eraser,143,chalkboarderaser,chalkboarderaser,3,3,,
NAT202402,17047,brick,paper-mache-base,143,papermachebase,papermachebase,2,2,,
NAT202402,17048,brick,puzzle-piece,143,puzzlepiece,puzzlepiece,3,2,,
NAT202402,17050,brick,paper-folding-aid,143,paperfoldingaid,paperfoldingaid,3,3,,
NAT202402,17061,brick,mailbox post,144,mailbox post,mailbox post,1,2,,
NAT202402,17064,brick,chalkboard,144,chalkboard,chalkboard,3,3,,
NAT202402,17066,brick,letter organizer,144,letter organizer,letter organizer,3,2,,
NAT202402,17070,brick,coaster,144,coaster,coaster,2,5,,
NAT202402,17075,brick,coasters,145,coasters,coasters,2,5,,
NAT202402,17078,brick,mailbox post,145,mailbox post,mailbox post,1,2,,
NAT202402,17088,brick,paper brick art,145,paper art,paper art,2,1,,
NAT202402,17107,brick,create a letter/number puzzle for kids,146,create letternumber puzzle kids,create letternumber puzzle kids,3,2,,
NAT202402,17130,brick,coaster,147,coaster,coaster,2,5,,
NAT202402,17150,brick,paper brick sculpture,148,paper sculpture,paper sculpture,3,2,,
NAT202402,17159,brick,mailbox post,149,mailbox post,mailbox post,1,2,,
NAT202402,17166,brick,letter storage,149,letter storage,letter storage,3,2,,
NAT202402,17175,brick,chalkboard,150,chalkboard,chalkboard,3,3,,
NAT202402,17188,brick,coaster,150,coaster,coaster,2,5,,
NAT202402,17204,brick,coaster,151,coaster,coaster,2,5,,
NAT202402,17207,brick,paper mache base,151,paper mache base,paper mache base,2,2,,
NAT202402,17242,brick,coaster,153,coaster,coaster,2,5,,
NAT202402,17249,brick,paper brick-art,153,paper brickart,paper brickart,2,0,,
NAT202402,17258,brick,abacus,154,abacus,abacus,4,2,,
NAT202402,17264,brick,writings,154,writings,writings,2,4,,
NAT202402,17269,brick,puzzle,154,puzzle,puzzle,3,2,,
NAT202402,17275,brick,chalkboard,155,chalkboard,chalkboard,3,3,,
NAT202402,17276,brick,coaster,155,coaster,coaster,2,5,,
NAT202402,17283,brick,ornament,155,ornament,ornament,2,3,,
NAT202402,17285,brick,washboard,155,washboard,washboard,2,2,,
NAT202402,17288,brick,puzzle piece,155,puzzle piece,puzzle piece,3,2,,
NAT202402,17289,brick,paper brick sculpture,155,paper sculpture,paper sculpture,3,2,,
NAT202402,17304,brick,mailbox post,156,mailbox post,mailbox post,1,2,,
NAT202402,17315,brick,chalkboard,157,chalkboard,chalkboard,3,3,,
NAT202402,17319,brick,coaster,157,coaster,coaster,2,5,,
NAT202402,17326,brick,abacus,157,abacus,abacus,4,2,,
NAT202402,17327,brick,stamps,157,stamps,stamps,2,3,,
NAT202402,17335,brick,chalkboard,158,chalkboard,chalkboard,3,3,,
NAT202402,17342,brick,whiteboard,158,whiteboard,whiteboard,3,0,,
NAT202402,17346,brick,homemade coasters,158,homemade coasters,homemade coasters,2,5,,
NAT202402,17359,brick,coaster,159,coaster,coaster,2,5,,
NAT202402,17377,brick,letter organizer,160,letter organizer,letter organizer,3,2,,
NAT202402,17380,brick,coaster,160,coaster,coaster,2,5,,
NAT202402,17383,brick,chalkboard,160,chalkboard,chalkboard,3,3,,
NAT202402,17384,brick,paper mache,160,paper mache,paper mache,2,2,,
NAT202402,17388,brick,paper brick letter organizer for classroom,160,paper letter organizer classroom,paper letter organizer classroom,2,2,,
NAT202402,17406,brick,whiteboard eraser,161,whiteboard eraser,whiteboard eraser,3,0,,
NAT202402,17407,brick,coaster,161,coaster,coaster,2,5,,
NAT202402,17433,brick,arts and crafts,163,arts crafts,arts crafts,2,3,,
NAT202402,17440,brick,chalkboard background,163,chalkboard background,chalkboard background,3,3,,
NAT202402,17443,brick,heart-shaped decoration,163,heartshaped decoration,heartshaped decoration,2,2,,
NAT202402,17451,brick,coaster,164,coaster,coaster,2,5,,
NAT202402,17480,brick,coaster,165,coaster,coaster,2,5,,
NAT202402,17482,brick,paper brick car,165,paper car,paper car,2,1,,
NAT202402,17912,brick,coaster,187,coaster,coaster,2,5,,
NAT202402,17931,brick,coaster,188,coaster,coaster,2,5,,
NAT202402,17967,brick,paper,190,paper,paper,1,1,,
NAT202402,17971,brick,paper,190,paper,paper,1,1,,
NAT202402,17974,brick,paper,190,paper,paper,1,1,,
NAT202402,17976,brick,paper,190,paper,paper,1,1,,
NAT202402,17978,brick,paper,190,paper,paper,1,1,,
NAT202402,17980,brick,paper,190,paper,paper,1,1,,
NAT202402,18027,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18029,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18031,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18033,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18035,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18037,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18039,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18041,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18043,brick,paper brick,193,paper,paper,1,1,,
NAT202402,18046,brick,paper mache,194,paper mache,paper mache,2,2,,
NAT202402,18088,brick,coaster,196,coaster,coaster,2,5,,
NAT202402,18105,brick,beverage coaster,197,beverage coaster,beverage coaster,2,5,,
NAT202402,18154,brick,ornament,199,ornament,ornament,2,3,,
NAT202402,18169,brick,paper mache,200,paper mache,paper mache,2,2,,
NAT202402,18207,brick,paper,202,paper,paper,1,1,,
NAT202402,18208,brick,coaster,202,coaster,coaster,2,5,,
NAT202402,18226,brick,stamp,203,stamp,stamp,2,3,,
NAT202402,18236,brick,chalkboard,203,chalkboard,chalkboard,3,3,,
NAT202402,18238,brick,puzzle,203,puzzle,puzzle,3,2,,
NAT202402,18245,brick,paper wrap,204,paper wrap,paper wrap,2,0,,
NAT202402,18268,brick,paper,205,paper,paper,1,1,,
NAT202402,18271,brick,paper,205,paper,paper,1,1,,
NAT202402,18272,brick,coaster,205,coaster,coaster,2,5,,
NAT202402,18279,brick,chalkboard,205,chalkboard,chalkboard,3,3,,
NAT202402,18281,brick,coaster,205,coaster,coaster,2,5,,
NAT202402,18310,brick,paper shredder,207,paper shredder,paper shredder,3,1,,
NAT202402,18313,brick,dartboard,207,dartboard,dartboard,3,2,,
NAT202402,18314,brick,paper shredder,207,paper shredder,paper shredder,3,1,,
NAT202402,18329,brick,paper,208,paper,paper,1,1,,
NAT202402,18331,brick,paper,208,paper,paper,1,1,,
NAT202402,18340,brick,paper,208,paper,paper,1,1,,
NAT202402,18342,brick,coaster,208,coaster,coaster,2,5,,
NAT202402,18346,brick,paper,209,paper,paper,1,1,,
NAT202402,18348,brick,coaster,209,coaster,coaster,2,5,,
NAT202402,18368,brick,paper,210,paper,paper,1,1,,
NAT202402,18369,brick,coasters,210,coasters,coasters,2,5,,
NAT202402,18373,brick,needlepoint,210,needlepoint,needlepoint,3,0,,
NAT202402,18374,brick,paper mache,210,paper mache,paper mache,2,2,,
NAT202402,18385,brick,paper brick,211,paper,paper,1,1,,
NAT202402,18421,brick,paper toy,212,paper toy,paper toy,3,0,,
NAT202402,18435,brick,coaster,213,coaster,coaster,2,5,,
NAT202402,18449,brick,paper layer,214,paper layer,paper layer,1,2,,
NAT202402,18468,brick,paper,215,paper,paper,1,1,,
NAT202402,18472,brick,coaster,215,coaster,coaster,2,5,,
NAT202402,18493,brick,paper-type,216,papertype,papertype,1.4,0,,
NAT202402,18505,brick,paper,217,paper,paper,1,1,,
NAT202402,18514,brick,chalkboard,217,chalkboard,chalkboard,3,3,,
NAT202402,18526,brick,coaster,218,coaster,coaster,2,5,,
NAT202402,18550,brick,coaster,219,coaster,coaster,2,5,,
NAT202402,18565,brick,paper,220,paper,paper,1,1,,
NAT202402,18566,brick,chalkboard,220,chalkboard,chalkboard,3,3,,
NAT202402,18568,brick,paper sculpture,220,paper sculpture,paper sculpture,3,2,,
NAT202402,18576,brick,voting booth,220,voting booth,voting booth,3,2,,
NAT202402,18578,brick,ocarina,220,ocarina,ocarina,3,2,,
NAT202402,18588,brick,rustic coaster,221,rustic coaster,rustic coaster,2,5,,
NAT202402,18608,brick,rustic coaster,222,rustic coaster,rustic coaster,2,5,,
NAT202402,18628,brick,rustic coaster,223,rustic coaster,rustic coaster,2,5,,
NAT202402,18648,brick,rustic coaster,224,rustic coaster,rustic coaster,2,5,,
NAT202402,18669,brick,rustic coaster,225,rustic coaster,rustic coaster,2,5,,
NAT202402,18688,brick,rustic coaster,226,rustic coaster,rustic coaster,2,5,,
NAT202402,18708,brick,rustic coaster,227,rustic coaster,rustic coaster,2,5,,
NAT202402,18728,brick,rustic coaster,228,rustic coaster,rustic coaster,2,5,,
NAT202402,18748,brick,rustic coaster,229,rustic coaster,rustic coaster,2,5,,
NAT202402,18768,brick,rustic coaster,230,rustic coaster,rustic coaster,2,5,,
NAT202402,18789,brick,rustic coaster,231,rustic coaster,rustic coaster,2,5,,
NAT202402,18808,brick,rustic coaster,232,rustic coaster,rustic coaster,2,5,,
NAT202402,18828,brick,rustic coaster,233,rustic coaster,rustic coaster,2,5,,
NAT202402,18848,brick,rustic coaster,234,rustic coaster,rustic coaster,2,5,,
NAT202402,18868,brick,rustic coaster,235,rustic coaster,rustic coaster,2,5,,
NAT202402,18889,brick,rustic coaster,236,rustic coaster,rustic coaster,2,5,,
NAT202402,18908,brick,rustic coaster,237,rustic coaster,rustic coaster,2,5,,
NAT202402,18932,brick,rustic coaster,238,rustic coaster,rustic coaster,2,5,,
NAT202402,18950,brick,rustic coaster,239,rustic coaster,rustic coaster,2,5,,
NAT202402,18969,brick,rustic coaster,240,rustic coaster,rustic coaster,2,5,,
NAT202402,18988,brick,rustic coaster,241,rustic coaster,rustic coaster,2,5,,
NAT202402,19010,brick,rustic coaster,242,rustic coaster,rustic coaster,2,5,,
NAT202402,19028,brick,rustic coaster,243,rustic coaster,rustic coaster,2,5,,
NAT202402,19048,brick,rustic coaster,244,rustic coaster,rustic coaster,2,5,,
NAT202402,19073,brick,rustic coaster,245,rustic coaster,rustic coaster,2,5,,
NAT202402,19088,brick,rustic coaster,246,rustic coaster,rustic coaster,2,5,,
NAT202402,19108,brick,rustic coaster,247,rustic coaster,rustic coaster,2,5,,
NAT202402,19128,brick,rustic coaster,248,rustic coaster,rustic coaster,2,5,,
NAT202402,19140,brick,message board with chalk,248,message board chalk,message board chalk,3,3,,
NAT202402,19148,brick,rustic coaster,249,rustic coaster,rustic coaster,2,5,,
NAT202402,19170,brick,rustic coaster,250,rustic coaster,rustic coaster,2,5,,
NAT202402,19193,brick,rustic coaster,251,rustic coaster,rustic coaster,2,5,,
NAT202402,19209,brick,rustic coaster,252,rustic coaster,rustic coaster,2,5,,
NAT202402,19231,brick,rustic coaster,253,rustic coaster,rustic coaster,2,5,,
NAT202402,19271,brick,rustic coaster,255,rustic coaster,rustic coaster,2,5,,
NAT202402,19288,brick,rustic coaster,256,rustic coaster,rustic coaster,2,5,,
NAT202402,19308,brick,rustic coaster,257,rustic coaster,rustic coaster,2,5,,
NAT202402,19341,brick,hood ornament,258,hood ornament,hood ornament,3,4,,
NAT202402,19355,brick,rustic coaster,259,rustic coaster,rustic coaster,2,5,,
NAT202402,19368,brick,rustic coaster,260,rustic coaster,rustic coaster,2,5,,
NAT202402,19433,brick,rustic coaster,263,rustic coaster,rustic coaster,2,5,,
NAT202402,19448,brick,rustic coaster,264,rustic coaster,rustic coaster,2,5,,
NAT202402,19468,brick,rustic coaster,265,rustic coaster,rustic coaster,2,5,,
NAT202402,19519,brick,message engraver,267,message engraver,message engraver,3,3,,
NAT202402,19528,brick,rustic coaster,268,rustic coaster,rustic coaster,2,5,,
NAT202402,19575,brick,rustic coaster,270,rustic coaster,rustic coaster,2,5,,
NAT202402,19611,brick,rustic coaster,272,rustic coaster,rustic coaster,2,5,,
NAT202402,19631,brick,rustic coaster,273,rustic coaster,rustic coaster,2,5,,
NAT202402,19668,brick,rustic coaster,275,rustic coaster,rustic coaster,2,5,,
NAT202402,19688,brick,outdoor coaster,331,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19708,brick,outdoor coaster,332,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19728,brick,outdoor coaster,333,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19730,brick,rustic coaster,333,rustic coaster,rustic coaster,2,5,,
NAT202402,19748,brick,outdoor coaster,334,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19750,brick,rustic coaster,334,rustic coaster,rustic coaster,2,5,,
NAT202402,19768,brick,outdoor coaster,335,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19770,brick,rustic coaster,335,rustic coaster,rustic coaster,2,5,,
NAT202402,19788,brick,outdoor coaster,336,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19808,brick,outdoor coaster,337,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19828,brick,outdoor coaster,338,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19848,brick,outdoor coaster,339,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19850,brick,rustic coaster,339,rustic coaster,rustic coaster,2,5,,
NAT202402,19868,brick,outdoor coaster,340,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19888,brick,outdoor coaster,341,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19908,brick,outdoor coaster,342,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19910,brick,rustic coaster,342,rustic coaster,rustic coaster,2,5,,
NAT202402,19928,brick,outdoor coaster,343,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19930,brick,rustic coaster,343,rustic coaster,rustic coaster,2,5,,
NAT202402,19948,brick,outdoor coaster,344,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19968,brick,outdoor coaster,345,outdoor coaster,outdoor coaster,2,5,,
NAT202402,19989,brick,rustic coaster,346,rustic coaster,rustic coaster,2,5,,
NAT202402,20001,brick,improvised chalk,346,improvised chalk,improvised chalk,3,4,,
NAT202402,20008,brick,outdoor coaster,347,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20010,brick,rustic coaster,347,rustic coaster,rustic coaster,2,5,,
NAT202402,20028,brick,outdoor coaster,348,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20030,brick,rustic coaster,348,rustic coaster,rustic coaster,2,5,,
NAT202402,20048,brick,outdoor coaster,349,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20050,brick,rustic coaster,349,rustic coaster,rustic coaster,2,5,,
NAT202402,20069,brick,rustic coaster,350,rustic coaster,rustic coaster,2,5,,
NAT202402,20088,brick,outdoor coaster,351,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20090,brick,rustic coaster,351,rustic coaster,rustic coaster,2,5,,
NAT202402,20111,brick,rustic coaster,352,rustic coaster,rustic coaster,2,5,,
NAT202402,20128,brick,outdoor coaster,353,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20148,brick,outdoor coaster,354,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20168,brick,outdoor coaster,355,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20188,brick,outdoor coaster,356,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20190,brick,rustic coaster,356,rustic coaster,rustic coaster,2,5,,
NAT202402,20208,brick,outdoor coaster,357,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20210,brick,rustic coaster,357,rustic coaster,rustic coaster,2,5,,
NAT202402,20228,brick,outdoor coaster,358,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20248,brick,outdoor coaster,359,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20268,brick,outdoor coaster,360,outdoor coaster,outdoor coaster,2,5,,
NAT202402,20275,brick,painting stencil,360,painting stencil,painting stencil,3,4,,
NAT202402,20288,brick,outdoor coaster,361,outdoor coaster,outdoor coaster,2,5,,
