response_id,research_id,respondent_id,object,translated_response,originality_rater02,utility_rater02,originality_rater01,utility_rater01
58,CEG202256,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,used as decoration on a shelf or mantelpiece,NA,NA,2,4
59,CEG202257,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,doorstop,NA,NA,2,5
60,CEG202258,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,start a fire,NA,NA,2,4
61,CEG202259,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,prop up a table,NA,NA,3,4
62,CEG202260,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,paperweight,NA,NA,2,5
62,CEG202260,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,hold open door,NA,NA,2,5
63,CEG202261,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,hold open window,NA,NA,2,5
64,CEG202262,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,make a paper,NA,NA,1,4
65,CEG202263,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,doorstop,NA,NA,2,5
66,CEG202264,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,level a table or shelf,2,4,3,4
67,CEG202265,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,paperweight,NA,NA,2,5
68,CEG202266,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,make collage or scrapbook,NA,NA,2,5
69,CEG202267,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,used as kindling for a fire,NA,NA,2,4
821,CEG202268,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,bottle,NA,NA,4,1
70,CEG202268,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,can,NA,NA,4,1
71,CEG202269,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,doorstop,NA,NA,2,5
72,CEG202270,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,level a table or other surface,NA,NA,3,4
73,CEG202271,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,prop up a wobbly chair or couch,2,4,3,4
74,CEG202272,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,paperweight,NA,NA,2,5
75,CEG202273,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,door stop in open doorway to help,NA,NA,2,5
76,CEG202274,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,doorstop,NA,NA,2,5
77,CEG202275,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,level a table or shelf,2,4,3,4
78,CEG202276,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,paperweight,NA,NA,2,5
79,CEG202277,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,keep papers from blowing away in wind,2,5,2,5
80,CEG202278,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,make a small step stool,3,3,3,4
81,CEG202279,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,book,NA,NA,1,5
82,CEG202280,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,doorstop,NA,NA,2,5
83,CEG202281,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,prop up a wobbly table,NA,NA,3,4
84,CEG202282,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,make paper airplane,NA,NA,2,5
85,CEG202283,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,used as kindling for a fire,NA,NA,2,4
86,CEG202284,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,absorb spilled liquid,NA,NA,4,3
87,CEG202285,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,collection of books,NA,NA,2,5
88,CEG202286,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,door stop,NA,NA,2,5
89,CEG202287,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,level a table,2,4,3,4
90,CEG202288,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,prop up a wobbly chair,2,4,3,4
91,CEG202289,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,paperweight,NA,NA,2,5
92,CEG202290,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,make a small stool or side table,NA,NA,3,3
94,CEG202291,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,doorstop,NA,NA,2,5
95,CEG202292,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,level a table or chair,2,4,3,4
96,CEG202293,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,paperweight,NA,NA,2,5
96,CEG202293,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,prop open door,NA,NA,2,5
97,CEG202294,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,prop open window,NA,NA,2,5
98,CEG202295,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,coaster for hot beverage,NA,NA,2,5
100,CEG202296,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,doorstop,NA,NA,2,5
101,CEG202297,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,level a table or chair,2,4,3,4
102,CEG202298,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,paperweight,NA,NA,2,5
103,CEG202299,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,prop up a wobbly leg on a piece of furniture,NA,NA,3,4
104,CEG202300,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,used as fuel for a fire,NA,NA,2,4
105,CEG202301,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,door stop,NA,NA,2,5
106,CEG202302,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,level a table or shelf,2,4,3,4
107,CEG202303,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,prop up a wobbly chair or table leg,2,4,3,4
108,CEG202304,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,paperweight,NA,NA,2,5
109,CEG202305,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,smash spiders or other bugs,NA,NA,2,5
110,CEG202306,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,doorstop,NA,NA,2,5
111,CEG202307,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,level a table or chair,2,4,3,4
112,CEG202308,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,paperweight,NA,NA,2,5
113,CEG202309,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,prop up a wobbly table leg,NA,NA,3,4
114,CEG202310,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,used as kindling for a fire,NA,NA,2,4
115,CEG202311,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,book,NA,NA,1,5
116,CEG202312,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Make a book into a lampshade,NA,NA,4,3
822,CEG202313,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,timer,NA,NA,5,2
117,CEG202313,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,clock by gluing numbers to the cover and attaching hands,NA,NA,5,2
118,CEG202314,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Create a sculpture or collage by decoupaging old book pages onto an object,NA,NA,3,4
119,CEG202315,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Make coasters out ofbook pages sealed with mod podge.,2,4,2,4
120,CEG202316,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Fold pages of old book,NA,NA,2,5
121,CEG202317,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,doorstop,NA,NA,2,5
122,CEG202318,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,level a table or shelf,2,4,3,4
123,CEG202319,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,paperweight,NA,NA,2,5
124,CEG202320,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,make a collage or sculpture,NA,NA,2,4
125,CEG202321,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,used as fuel for a fire,NA,NA,2,4
127,CEG202322,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,door stop,NA,NA,2,5
128,CEG202323,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,balance a wobbly table,NA,NA,3,4
129,CEG202324,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,paperweight,NA,NA,2,5
130,CEG202325,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,prop up a wonky picture frame,NA,NA,3,4
131,CEG202326,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,make a small stool more comfortable,3,3,3,3
133,CEG202327,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,doorstop,NA,NA,2,5
134,CEG202328,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,prop up a wobbly table,NA,NA,3,4
135,CEG202329,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,coaster for your cold beverage,NA,NA,2,5
136,CEG202330,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,hold open window,NA,NA,2,5
137,CEG202331,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,can serve as paperweight on your desk,2,5,1,5
139,CEG202332,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,Make a book into a clock by attaching clock hands to the cover,NA,NA,5,2
140,CEG202333,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,secret hiding place by cutting out square hole in center of pages,NA,NA,3,5
141,CEG202334,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,Use an old book as decoration by stacking it on top of other books or placing it in an empty frame,NA,NA,3,3
142,CEG202335,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,Repurpose a hardcover book into a photo,NA,NA,3,4
143,CEG202336,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,doorstop,NA,NA,2,5
144,CEG202337,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,level a table,2,4,3,4
145,CEG202338,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,prop up a wobbly chair,2,4,3,4
146,CEG202339,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,paperweight,NA,NA,2,5
147,CEG202340,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,make a papier-mâché mask or sculpture,NA,NA,3,3
147,CEG202341,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,make a papier-mache mask or sculpture,NA,NA,3,3
148,CEG202342,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,doorstop,NA,NA,2,5
149,CEG202343,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,start a fire,NA,NA,2,4
150,CEG202344,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,coaster for your drink,2,5,2,5
151,CEG202345,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,prop up a table or shelf,NA,NA,3,4
152,CEG202346,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,cut up and made into paper airplanes or origami shapes,NA,NA,2,4
153,CEG202347,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,doorstop,NA,NA,2,5
154,CEG202348,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,level a table or piece of furniture,NA,NA,3,4
155,CEG202349,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,paperweight,NA,NA,2,5
156,CEG202350,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,decorate a room or shelf,2,5,2,4
157,CEG202351,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,used as part of a centerpieces for a party or event,NA,NA,2,4
158,CEG202352,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,doorstop,NA,NA,2,5
159,CEG202353,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,level a table or other surface,NA,NA,3,4
160,CEG202354,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,prop open window,NA,NA,2,5
161,CEG202355,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,coaster for hot beverage,NA,NA,2,5
162,CEG202356,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,weight to hold down papers or other materials,NA,NA,2,5
163,CEG202357,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Use it as a back scratcher,2,5,2,5
164,CEG202358,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Use it to pick up small items like coins or beads,2,5,2,5
165,CEG202359,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Use it as a hairpin or hair tie,2,4,2,4
166,CEG202360,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Turn it into a miniature shovel for potted plants,2,4,2,4
167,CEG202361,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Stick it in the ground to mark your spot in a park,2,5,2,5
168,CEG202362,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,back scratcher,2,5,2,5
169,CEG202363,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,pick up small items like rice or beans,1,5,1,5
170,CEG202364,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,apply makeup such as lip gloss or mascara,3,2,3,2
171,CEG202365,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,clean dirt and grime out of small crevices and corners,2,5,2,5
172,CEG202366,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,fork,1,5,1,5
173,CEG202367,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,eat food,1,5,1,5
174,CEG202368,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,hold food while cutting it with a knife,1,5,1,5
175,CEG202369,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,spear food,1,5,1,5
174,CEG202367,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,pick up food from floor,1,5,1,5
176,CEG202370,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,pick up food that has fallen on floor,1,5,1,5
177,CEG202371,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,back scratcher,2,5,2,5
179,CEG202372,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,back scratcher,2,5,2,5
180,CEG202373,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,comb your hair,2,4,2,4
181,CEG202374,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,toothpick,2,4,2,4
182,CEG202375,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,scrape dirt off your shoes,2,5,2,5
183,CEG202376,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,pick up small objects like paperclips or beads,2,5,2,5
184,CEG202377,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,fork,1,5,1,5
185,CEG202378,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,toothpick,2,4,2,4
186,CEG202379,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,make small holes in fabric so that you can thread ribbon or string through it to create decorations,3,4,3,4
187,CEG202380,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,makeshift chopsticks when eating rice or noodles,2,4,2,4
188,CEG202381,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,play the steel pan drums,3,5,3,5
190,CEG202382,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,hairpin,2,4,2,4
191,CEG202383,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,toothpick,2,4,2,4
192,CEG202384,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,remove splinters,2,3,2,3
193,CEG202385,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,clean under your fingernails,2,5,2,5
194,CEG202386,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,can double as chopstick holder,2,4,2,5
195,CEG202387,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,Use the tines of a fork,1,4,1,4
196,CEG202388,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,Use a fork to eat soup without making a mess,2,3,2,3
197,CEG202389,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,Use a fork to eat spaghetti without making a mess,1,5,1,5
198,CEG202390,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,Use a fork to eat salad without making a mess,1,5,1,5
199,CEG202391,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,Use a fork as a makeshift spoon if you don't have one handy,2,4,2,4
200,CEG202392,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,use two forks stuck together tine-side out to make impromptu chopsticks,2,4,2,4
201,CEG202393,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,Eat like a king or queen with your very own fork!,2,4,2,4
202,CEG202394,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,Use it as a bookmark!,2,5,2,5
203,CEG202395,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,Give your pet cat or dog a bath with the help of your trusty fork,3,3,3,3
204,CEG202396,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,Get rid of pesky bugs in your home by shooing them away with a fork,3,3,3,3
206,CEG202397,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Using a fork to eat spaghetti instead of a spoon,1,5,1,5
207,CEG202398,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Using a fork to apply makeup instead of a brush,3,2,3,2
208,CEG202399,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Using a fork as a backscratcher,2,5,2,5
209,CEG202400,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Using a fork to play the violin,4,2,4,2
210,CEG202401,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Using a fork to open bottles or cans,2,4,2,4
211,CEG202402,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Using forks as chopsticks,2,4,2,4
212,CEG202403,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Creating art with,3,3,3,3
213,CEG202404,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,back scratcher,2,5,2,5
214,CEG202405,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,play the xylophone,3,4,3,4
215,CEG202406,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,toothpick,2,4,2,4
216,CEG202407,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects,5,2,5,2
218,CEG202408,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,back scratcher,2,5,2,5
219,CEG202409,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,pick up food that is out of reach,2,5,2,5
220,CEG202410,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,comb your hair,2,4,2,4
221,CEG202411,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,apply makeup,3,2,3,2
222,CEG202412,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,toothpick,2,4,3,4
224,CEG202413,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Use a fork to eat food off of a plate,1,5,1,5
225,CEG202414,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Stick a fork in a electrical outlet to see if it is still working,3,3,3,3
226,CEG202415,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Use a fork as a back scratcher,2,5,2,5
227,CEG202416,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Hold a fork up to the light to see if it is bent,2,4,2,4
228,CEG202417,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Try to balance a fork on its end,2,4,2,4
