research_id,response_id,respondent_id,object,original_response,cleaned_response,original_translated,translated_response,utility_rater02
CES201606,754,19,belt,om mee te slaan,slaan,to hit with,beat,
CES201606,868,20,belt,iemand ermee slaan,slaan,hit someone with,beat,
CES201606,1406,35,belt,ermee slaan,slaan,hit with,beat,
CES201606,1467,36,belt,mee slaan,slaan,hit with,beat,
CES201606,1566,39,belt,iemand mee slaan,slaan,hit someone with,beat,
CES201606,1647,42,belt,slaan,slaan,hit,beat,
CES201606,1291,29,belt,sleeptouw,sleeptouw,tow rope,tow rope,
CES201606,1463,36,belt,Als sling gebruiken voor je gebroken pols,sling gebroken pols,Use as a sling for your broken wrist,sling broken wrist,
CES201606,757,19,belt,slinger van maken,slinger,make a sling,garland,
CES201606,980,23,belt,slingeren aan een boom,slingeren boom,swing from a tree,swing tree,
CES201606,867,20,belt,sorry ik werd afgeleid,sorry afgeleid,sorry I got distracted,sorry distracted,
CES201606,1694,43,belt,spanband,spanband,tension strap,tension strap,
CES201606,435,15,belt,spank materiaal,spank materiaal,spank material,spanking material,
CES201606,2109,50,belt,spannen tussen twee hoogten en je hebt een waslijn,spannen tussen hoogten hebt waslijn,stretch between two heights and you have a clothesline,tension between heights you have clothesline,
CES201606,1360,30,belt,spelden,spelden,pins,pins,
CES201606,986,23,belt,in spelletje met over een touw heen springen,spelletje touw heen springen,in game with jumping over a rope,game of skipping rope,
CES201606,1161,26,belt,sport: riemen stuktrekken,sport riemen stuk trekken,sport: pulling belts to pieces,tearing sports belts,
CES201606,988,23,belt,springtouw,springtouw,skipping rope,skipping rope,
CES201606,1696,43,belt,springtouw,springtouw,skipping rope,skipping rope,
CES201606,1289,29,belt,strop,strop,noose,noose,
CES201606,358,14,belt,in stukjes knippen en dan heb je confetti van leer,stukjes knippen confetti leer,cut into pieces and then you have leather confetti,pieces of cut confetti leather,
CES201606,1949,47,belt,voor een tas als decoratie,tas decoratie,for a bag as decoration,bag decoration,
CES201606,1999,48,belt,tas vastmakeen op fiets,tas vastmaken fiets,attach a bag to a bike,attach bag to bicycle,
CES201606,664,18,belt,om een tassen handvat van te maken ,tassen handvat,to make a bag handle,bags handle,
CES201606,1887,46,belt,telefoonhoesje,telefoonhoesje,phone case,phone case,
CES201606,978,23,belt,ipv tai rep(??),tiewrap,instead of tai rep(??),tie wrap,
CES201606,1292,29,belt,ty-rep,tiewrap,ty-rep,tie wrap,
CES201606,1692,43,belt,tierap,tiewrap,tierap,tie wrap,
CES201606,212,12,belt,touw,touw,rope,rope,
CES201606,265,13,belt,als touw,touw,as rope,rope,
CES201606,433,15,belt,touw,touw,rope,rope,
CES201606,1108,25,belt,touw,touw,rope,rope,
CES201606,1205,27,belt,touw,touw,rope,rope,
CES201606,1248,28,belt,als touw,touw,as rope,rope,
CES201606,1355,30,belt,touw,touw,rope,rope,
CES201606,1803,45,belt,touw,touw,rope,rope,
CES201606,1879,46,belt,touw,touw,rope,rope,
CES201606,758,19,belt,om mee touw te trekken,touw trekken,for pulling rope,pulling rope,
CES201606,975,23,belt,touwtrekken,touwtrekken,tug of war,tug of war,
CES201606,1883,46,belt,V-snaar,v snaar,V-belt,v string,
CES201606,1645,42,belt,Iets vast maken ,vast,To fasten something,fix,
CES201606,765,19,belt,om iets mee vast te binden,vast binden,to tie something with,tie,
CES201606,1944,47,belt,om iets vast te binden,vast binden,to tie something up,tie,
CES201606,870,20,belt,iets vastbinden,vastbinden,to tie something up,tie,
CES201606,1646,42,belt,vastbinden,vastbinden,to tie up,tie,
CES201606,2131.2,51,belt, vastbinden trekken,vastbinden trekken,to tie up,tie down pull,
CES201606,1245,28,belt,iets vastmaken aan de riem,vastmaken riem,to fasten something to a belt,fasten belt,
CES201606,1404,35,belt,iets ermee vastzetten,vastzetten,to fasten something with,fasten,
CES201606,1365,30,belt,veer,veer,a feather,feather,
CES201606,768,19,belt,om te versieren,versieren,to decorate,decorate,
CES201606,1293,29,belt,versiersel,versiersel,a decoration,decoration,
CES201606,1945.1,47,belt,vroeger,vroeger,in the past,earlier,
CES201606,268,13,belt,als wapen,wapen,as a weapon,weapon,
CES201606,353,14,belt,als wapen (er iemand heul hard mee slaan),wapen,as a weapon (to hit someone really hard with it),weapon,
CES201606,1288,29,belt,wapen,wapen,a weapon,weapon,
CES201606,1527,38,belt,als wapen gebruiken,wapen,to use as a weapon,weapon,
CES201606,582,17,belt,er weer een koe van maken,weer koe,to make a cow out of it again,cow again,
CES201606,360,14,belt,iemand mee wurgen,wurgen,to strangle someone with,strangle,
CES201606,663,18,belt,om iemand mee te wurgen ,wurgen,to strangle someone with,strangle,
CES201606,1246,28,belt,iemand wurgen met een riem,wurgen riem,to strangle someone with a belt,strangle belt,
CES201606,2130.2,51,belt, zoals bundel hout,zoals bundel hout,like a bundle of wood,such as bundle of wood,
CES201606,1243,28,belt,mijn zus mee te spenken,zus spanken,to strangle my sister with,sister spanking,
CES201606,213,12,belt,zweep,zweep,whip,whip,
CES201606,434,15,belt,zweep,zweep,whip,whip,
CES201606,504,16,belt,zweep,zweep,whip,whip,
CES201606,987,23,belt,zweep,zweep,whip,whip,
CES201606,1110,25,belt,zweep,zweep,whip,whip,
CES201606,1206,27,belt,zweep,zweep,whip,whip,
CES201606,1495,37,belt,als zweep gebruiken,zweep,to use as a whip,whip,
CES201606,1695,43,belt,zweep,zweep,whip,whip,
CES201606,1800,45,belt,zweep,zweep,whip,whip,
CES201606,1878,46,belt,zweep,zweep,whip,whip,
CES201606,584,17,stick,iemand aaien,aaien,to pet someone,pet,
CES201606,998,23,stick,iets aanwijzen,aanwijzen,to point to something,assign,
CES201606,1653,42,stick,iets aanwijsen,aanwijzen,to point to something,assign,
CES201606,2005,48,stick,iets aanwijzen,aanwijzen,to point to something,assign,
CES201606,228,12,stick,een aanwijzer,aanwijzer,a pointer,pointer,
CES201606,1502,37,stick,aanwijzer,aanwijzer,pointer,pointer,
CES201606,787,19,stick,om iets af te dekken,af dekken,to cover something,cover,
CES201606,992,23,stick,afbakening,afbakening,demarcation,demarcation,
CES201606,776,19,stick,om een afbakening aan te duiden,afbakening duiden,to indicate a demarcation,indicate demarcation,
CES201606,2147.1,51,stick,afscheiding,afscheiding,separation,secretion,
CES201606,885,20,stick,doen alsof je erop kunt vliegen,alsof erop vliegen,to pretend you can fly on it,as if flying on it,
CES201606,883,20,stick,doen alsof het een toverstaf is,alsof toverstaf,pretend it is a magic wand,as if magic wand,
CES201606,2142.2,51,stick, appels uit appelboom,appels appelboom,apples from an apple tree,apples apple tree,
CES201606,1167,26,stick,apporteren,apporteren,to retrieve,fetch,
CES201606,1899,46,stick,bal,bal,a ball,ball,
CES201606,591,17,stick,begraven,begraven,to bury,bury,
CES201606,1605,40,stick,beaschilderen als kunsrvoorwerp,beschilderen kunstvoorwerp,to paint a beaver as an art object,painting art object,
CES201606,1702,43,stick,bestek,bestek,specifications,specifications,
CES201606,1368,30,stick,betonnenafgietsel in een mal,betonnen afgietsel mal,concrete cast in a mold,concrete casting mold,
CES201606,884,20,stick,als bezemsteel gebruiken,bezemsteel,to use as a broomstick,broomstick,
CES201606,371,14,stick,op bijten als je heel veel pijn krijgt (als je been eraf wordt gezaagd zonder verdoving),bijten heel pijn krijgt,to bite on when you are in a lot of pain (if your leg is sawn off without anesthesia),biting becomes very painful,
CES201606,1367,30,stick,blaaspijpje,blaaspijpje,blowpipe,blowpipe,
CES201606,1116,25,stick,boomerang,boemerang,boomerang,boomerang,
CES201606,2011,48,stick,boomhut,boomhut,tree house,Treehouse,
CES201606,2002,48,stick,boshut bouwen,boshut bouwen,to build a forest hut,build forest hut,
CES201606,370,14,stick,als brandhout gebruiken,brandhout,to use as firewood,firewood,
CES201606,510,16,stick,brandhout,brandhout,firewood,firewood,
CES201606,2044,49,stick,brandstof,brandstof,fuel,fuel,
CES201606,778,19,stick,om te breken,breken,to break,break,
CES201606,2121,50,stick,breken,breken,to break,break,
CES201606,2010,48,stick,brug bouwen,brug bouwen,to build a bridge,build bridge,
CES201606,1164,26,stick,gebruiken om constructies mee te verstevingen,constructies verstevigen,to use to reinforce structures,strengthen structures,
CES201606,2146,51,stick,dakje maken van stokken en doeken,dakje stokken doeken,to make a roof from sticks and cloths,roof sticks cloths,
CES201606,586,17,stick,dansen,dansen,to dance,dancing,
CES201606,1574,39,stick,als decoratie in huis,decoratie huis,as decoration in house,decoration house,
CES201606,1742,44,stick,deegroller,deegroller,rolling pin,rolling pin,
CES201606,2043,49,stick,degen,degen,epee,epee,
CES201606,1892,46,stick,deur dicht houden,deur dicht houden,to keep the door closed,keep door closed,
CES201606,995,23,stick,een deur niet dicht laten vallen,deur niet dicht laten vallen,to prevent a door from closing,don't let door close,
CES201606,1952,47,stick,deur tegen houden,deur tegen houden,to hold the door back,stop door,
CES201606,367,14,stick,de deur mee vergrendelen,deur vergrendelen,to lock the door,lock door,
CES201606,2129,50,stick,eenb deurklink tegenhouden,deurklink tegenhouden,to hold a doorknob back,stop door handle,
CES201606,444,15,stick,deurstopper,deurstopper,door stopper,door stopper,
CES201606,1115,25,stick,deurstopper,deurstopper,door stopper,door stopper,
CES201606,675,18,stick,gebruiken om een dierenhok mee te maken ,dieren hok,to use to make an animal cage,animal cage,
CES201606,220,12,stick,een dildo,dildo,a dildo,dildo,
CES201606,442,15,stick,dildo,dildo,dildo,dildo,
CES201606,225,12,stick,een ding om gordijnen aan op te honge,ding gordijnen hangen,a thing to hang curtains on,hanging thing curtains,
CES201606,1573,39,stick,dingen aan op te hangen,dingen hangen,to hang things on,things hang,
CES201606,1061,24,stick,je kan er dingen aan ophangen,dingen ophangen,to hang things on,hanging things,
CES201606,1572,39,stick,om in dingen te prikken,dingen prikken,to poke things in,things sting,
CES201606,2145.2,51,stick, doek omheen,doek omheen,cloth around,cloth around it,
CES201606,878,20,stick,je kan het doormidden breken,doormidden breken,you can break it in half,break in half,
CES201606,595,17,stick,er een doos mee openmaken,doos openmaken,to open a box with,open box,
CES201606,782,19,stick,mee te drummen,drummen,to drum with,play drums,
CES201606,1902,46,stick,eetstokjes,eetstokjes,chopsticks,chopsticks,
CES201606,1298,29,stick,eten,eten,to eat,eat,
CES201606,222,12,stick,een fakker,fakkel,a torch,torch,
CES201606,2124,50,stick,of fierljeppen,fierljeppen,canal vaulting,canal vaulting,
CES201606,1481,36,stick,figuur mee leggen,figuur leggen,to make a figure with,lay figure,
CES201606,1898,46,stick,frisbee,frisbee,a frisbee,frisbee,
CES201606,1655,42,stick,in een gat steken,gat steken,to stick in a hole,poke hole,
CES201606,366,14,stick,geluid maken,geluid,to make a sound,sound,
CES201606,880,20,stick,de gezondheid van een boom aflezen,gezondheid boom aflezen,to read the health of a tree,health tree reading,
CES201606,1744,44,stick,Gong mee slaan,gong slaan,to hit a gong,strike gong,
CES201606,589,17,stick,gooien,gooien,to throw,throw,
CES201606,879.1,20,stick,ermee gooien,gooien,to throw with,throw,
CES201606,1649,42,stick,gooien,gooien,to throw,throw,
CES201606,881,20,stick,gooien voor de hond,gooien hond,to throw for the dog,throwing dog,
CES201606,1703,43,stick,gordijnen rode,gordijnen rode,red curtains,curtains rod,
CES201606,1956,47,stick,als gordijnroede,gordijnroede,as a curtain rod,curtain rod,
CES201606,1119,25,stick,als iets om te grijpen wanneer je in het water ligt bijvoorbeeld,grijpen wanneer water ligt oorbeeld,as something to grab when you are in the water for example,grab when water is lying around example,
CES201606,1901,46,stick,gril spit,gril spit,grill spit,grill spit,
CES201606,2126.1,50,stick,in de grond prikken,grond prikken,to poke in the ground,dig ground,
CES201606,1739,44,stick,In de grond steken om een plaats aan te duiden,grond steken plaats duiden,to stick in the ground to indicate a place,ground sticking place indicate,
CES201606,1740,44,stick,Iets mee in de grond tekenen,grond tekenen,to draw something in the ground with,drawing ground,
CES201606,1165.1,26,stick,gebruiken om mee te handwerken (vlechten,handwerken vlechten,to use to to do (braiding,needlework braiding,
CES201606,2127,50,stick,He-man nadoen,He Man nadoen,Imitate He-man,Imitate He Man,
CES201606,2144,51,stick,heel veel spelletjes en verbeelding: apporteren met de honden of toverstok van fee,heel spelletjes verbeelding apporteren honden toverstok fee,lots of games and imagination: retrieve with dogs or fairy wand,very games imagination fetch dogs magic wand fairy,
CES201606,587,17,stick,er over heen springen,heen springen,jump over,jump around,
CES201606,1410,35,stick,als hefboom gebruiken,hefboom,use as lever,lever,
CES201606,2147.2,51,stick, hekken voetbaldoel,hekken voetbaldoel,fence football goal,fences football goal,
CES201606,1705,43,stick,heksje mee spelen,heksje spelen,play witches with,play witch,
CES201606,2007,48,stick,hengel maken,hengel,make fishing rod,fishing rod,
CES201606,679,18,stick,hockeyen,hockeyen,play hockey,play hockey,
CES201606,1252,28,stick,als hockeystik,hockeystick,as hockey stick,hockey stick,
CES201606,1477,36,stick,Hond mee slaan,hond slaan,hit dog with,hitting dog,
CES201606,1254,28,stick,om honden mee te  vermaken,honden vermaken,to entertain dogs with,entertain dogs,
CES201606,1604,40,stick,hondenspeelgoed,hondenspeelgoed,dog toy,dog toys,
CES201606,1900,46,stick,hondenspeeltje,hondenspeeltje,dog toy,dog toy,
CES201606,507,16,stick,honkbalknuppel,honkbalknuppel,baseball bat,baseball bat,
CES201606,1253,28,stick,als honkbalknupel,honkbalknuppel,as baseball bat,baseball bat,
CES201606,2142.1,51,stick,iets hoogs wegkrijgen,hoog wegkrijgen,get something high away,get high,
CES201606,1706,43,stick,hoogspringen,hoogspringen,high jump,high jump,
CES201606,777,19,stick,om een hoogte aan te geven,hoogte geven,to indicate a height,give information,
CES201606,1213,27,stick,houdfiguur uit slijpen,houdfiguur slijpen,grind out a stick figure,sharpening holding figure,
CES201606,2141,51,stick,hulpmiddel lopen,hulpmiddel lopen,walking aid,walking aid,
CES201606,671,18,stick,om een hut mee te bouwen ,hut bouwen,to build a hut with,build hut,
CES201606,785,19,stick,om een hut mee te bouwen,hut bouwen,to build a hut with,build hut,
CES201606,993,23,stick,een hut bouwen,hut bouwen,build a hut,build hut,
CES201606,1211,27,stick,hut bouwen,hut bouwen,build a hut,build hut,
CES201606,1571,39,stick,om een hut mee te bouwen,hut bouwen,to build a hut with,build hut,
CES201606,882,20,stick,een ijsvogel op laten landen,ijsvogel laten landen,let a kingfisher land on,landing kingfisher,
CES201606,1366,30,stick,ijzeren buis,ijzeren buis,iron pipe,iron pipe,
CES201606,672,18,stick,om een kano mee te bouwen ,kano bouwen,to build a canoe with,build canoe,
CES201606,994,23,stick,iets kapot slaan,kapot slaan,break something,smash,
CES201606,224,12,stick,een kapstop,kapstok,a coat stopper,coat rack,
CES201606,1499,37,stick,kapstok,kapstok,coat rack,coat rack,
CES201606,1700,43,stick,kapstok,kapstok,coat rack,coat rack,
CES201606,1954,47,stick,iets van de kast halen,kast halen,take something off the cupboard,get closet,
CES201606,1369,30,stick,keramiek,keramiek,ceramics,ceramics,
CES201606,1701,43,stick,kettinkjes houer,kettinkjes houder,chains holder,necklace holder,
CES201606,594,17,stick,er een kip op zetten,kip zetten,put a chicken on it,put chicken,
CES201606,1955,47,stick,als kledingrek,kledingrek,as a clothes rack,clothing rack,
CES201606,1483,36,stick,als klem gebruike,klem,use as a clamp,clamp,
CES201606,1026,22,stick,knapzakje mee maken,knapzakje,make a knapsack with,knapsack,
CES201606,373,14,stick,mee krabben op je rug als je jeuk hebt,krabben rug jeuk hebt,scratch your back when you have an itch,scratch your back itch,
CES201606,226,12,stick,een krabber,krabber,a scraper,scraper,
CES201606,1808,45,stick,kunst,kunst,art,art,
CES201606,1168,26,stick,kunstwerk van maken,kunstwerk,make a work of art,artwork,
CES201606,877,20,stick,en dan lakken,lakken,and then varnish,lacquer,
CES201606,783,19,stick,om een lengte aan te geven,lengte geven,to indicate a length,give length,
CES201606,1570,39,stick,om op te leunen,leunen,to lean on,lean,
CES201606,1654,42,stick,als limbo gebruiken,limbo,use as limbo,limbo,
CES201606,2128,50,stick,limbodansen,limbo dansen,limbo dancing,limbo dancing,
CES201606,440,15,stick,limbo koord,limbo koord,limbo cord,limbo cord,
CES201606,1707,43,stick,limbo stok,limbo stok,limbo stick,limbo stick,
CES201606,771,19,stick,om mee te lopen,lopen,to walk with,walk,
CES201606,779,19,stick,om op te lopen,lopen,to walk on,walk,
CES201606,446,15,stick,marionette,marionet,marionette,puppet,
CES201606,1738,44,stick,Martelwerktuig,martelwerktuig,torture instrument,instrument of torture,
CES201606,674,18,stick,om meubels mee te bouwen \,meubels bouwen,to build furniture with \,building furniture,
CES201606,1897,46,stick,moordwapen*,moordwapen,murder weapon*,murder weapon,
CES201606,2042,49,stick,moordwapen,moordwapen,murder weapon,murder weapon,
CES201606,1896,46,stick,moorwapen,moorwapen,murder weapon,murder weapon,
CES201606,1482,36,stick,motorkap open houden,motorkap open houden,keep the hood open,keep hood open,
CES201606,1953,47,stick,om een muis van onder de bank weg te jagen,muis onder bank weg jagen,to chase a mouse from under the couch,chase mouse away from under couch,
CES201606,377.2,14,can, met zo'n touwtje er tussen) ,n touwtje tussen,with a string between them),a string between them,
CES201606,890,20,can,het natekenen,natekenen,copying,copy,
CES201606,602,17,can,neerleggen,neerleggen,putting down,put down,
CES201606,1217,27,can,neptelefoon,nep telefoon,fake phone,fake phone,
CES201606,900,20,can,omver gooien op de kermis,omver gooien kermis,knock over at the fair,knock over fair,
CES201606,515,16,can,onderzetter,onderzetter,coaster,coaster,
CES201606,893,20,can,openen,openen,open,open,
CES201606,2135.2,50,can, openen en lekker coladouchen,openen lekker cola douchen,open and have a nice cola shower,open nice cola shower,
CES201606,1170,26,can,openknippen en sierraad van maken,openknippen sieraad,cut open and make a jewel,cut open jewelry,
CES201606,601,17,can,opgaven,opgaven,assignments,assignments,
CES201606,603,17,can,oprapen,oprapen,pick up,pick up,
CES201606,1958,47,can,opslag pennen,opslag pennen,pen storage,storage pens,
CES201606,1906,46,can,opslag tank,opslag tank,storage tank,storage tank,
CES201606,385,14,can,als opvanger voor de regen als het lekt,opvangen regen lekt,as a catch for the rain when it leaks,collecting rain leaks,
CES201606,1373,30,can,pan met deksel,pan deksel,pan with lid,pan lid,
CES201606,1027,22,can,pennenbakje,pennenbakje,pen holder,pencil box,
CES201606,276,13,can,pennendoos,pennendoos,pen box,pencil box,
CES201606,2139.2,50,can, plank erop en skateboarden,plank erop skateboarden,put a shelf on top and skateboard,skateboard on it,
CES201606,1018,23,can,plantenbak,plantenbak,planter,planter,
CES201606,1957,47,can,plantenbak,plantenbak,planter,planter,
CES201606,2019,48,can,plantenbak,plantenbak,planter,planter,
CES201606,1372,30,can,plasic bakje met deksel,plastic bakje deksel,plastic container with lid,plastic container lid,
CES201606,1378,30,can,plastic zakje die je kan afsluiten,plastic zakje afsluiten,plastic bag that you can close,close plastic bag,
CES201606,382,14,can,platstampen en gebruiken bij ijshockey ,plat stampen ijshockey,smash flat and use for ice hockey,flattening ice hockey,
CES201606,1487,36,can,Platslaan en voorwerpen van maken,platslaan voorwerpen,Flatten and make objects,smashing objects,
CES201606,1374,30,can,pot met deksel,pot deksel,pot with lid,jar lid,
CES201606,1014.2,23,can, praten erdoor,praten erdoor,talk through,talk through it,
CES201606,790,19,can,om proberen kapot te maken,proberen kapot,try to break,try break,
CES201606,284,13,can,het raam open houden,raam open houden,keep the window open,keep window open,
CES201606,233,12,can,raketmotor,raketmotor,rocket engine,rocket engine,
CES201606,458,15,can,rammelaar (klipje in blikje),rammelaar,rattle (clip in can),rattle,
CES201606,1412,35,can,als rammelaar gebruiken,rammelaar,use as a rattle,rattle,
CES201606,889,20,can,reclame erop maken,reclame erop,advertise on it,advertising on it,
CES201606,681,18,can,recycelen ,recyclen,recycle,recycle,
CES201606,887,20,can,het recyclen,recyclen,recycle,recycle,
CES201606,2156.1,51,can,rollen,rollen,roll,roll,
CES201606,2137,50,can,rollen als bowlingbal,rollen bowlingbal,roll as a bowling ball,rolling bowling ball,
CES201606,605,17,can,een ruit ermee ingooien,ruit ingooien,smash a window with it,smash window,
CES201606,2155.1,51,can,scherp,scherp,sharp,sharp,
CES201606,1713,43,can,scherpe kant gebruiken om papier te snijden,scherpe kant papier snijden,use sharp edge to cut paper,sharp edge of paper cutting,
CES201606,1535,38,can,schietobject,schietobject,shooting object,shooting object,
CES201606,2135.1,50,can,schudden,schudden,shake,shake,
CES201606,896,20,can,schudden voor openen,schudden openen,shake before opening,shake open,
CES201606,1912,46,can,seksspeeltje,seksspeeltje,sex toy,sex toy,
CES201606,453,15,can,sieraad,sieraad,ornament,ornament,
CES201606,1710,43,can,sierraad,sieraad,ornament,ornament,
CES201606,381,14,can,gebruiken als sieradendoosje,sieradendoosje,use as a jewelry box,jewelry box,
CES201606,1063.2,24,can, sinterklaassurprises enzo,Sinterklaas surprises enzo,sinterklaas surprises etc.,St. Nicolas surprises and such,
CES201606,457,15,can,sleutelhanger (met het klipje van het blikje),sleutelhanger,key ring ( with the clip of the can),keychain,
CES201606,517,16,can,slingers,slingers,streamers,garlands,
CES201606,2014,48,can,mee snijden,snijden,cut with,cut,
CES201606,2155.2,51,can, snijden,snijden,cut,cut,
CES201606,1124,25,can,soepkom,soepkom,soup bowl,soup bowl,
CES201606,1962,47,can,spaarpot,spaarpot,money box,piggy bank,
CES201606,452,15,can,speelgoed,speelgoed,toys,toys,
CES201606,514,16,can,speelgoed,speelgoed,toys,toys,
CES201606,2013,48,can,speelgoed maken (auto),speelgoed,make toys (car),toys,
CES201606,1411,35,can,speelgoed ervan maken,speelgoed ervan,make toys out of them,toys of it,
CES201606,1488,36,can,speelgoed mee maken voor onder je voeten,speelgoed onder voeten,make toys for under your feet,toys under feet,
CES201606,794,19,can,als spel om om te schieten,spel schieten,as a game to shoot over,shooting game,
CES201606,450,15,can,spiegel,spiegel,mirror,mirror,
CES201606,1414,35,can,spullen in bewaren,spullen bewaren,store stuff in,store things,
CES201606,1656,42,can,Op staan,staan,stand up,stand,
CES201606,680,18,can,de straat mee vervuilen ,straat vervuilen,pollute the street with,pollute street,
CES201606,229,12,can,tandenborstel houder,tandenborstel houder,toothbrush holder,toothbrush holder,
CES201606,277,13,can,tandeborstel houder,tandenborstel houder,toothbrush holder,toothbrush holder,
CES201606,1214,27,can,target practice,target practice,target practice,target practice,
CES201606,379,14,can,tegen iemands hoofd aan gooien (wapen),tegen iemands hoofd gooien,throw someone's head with (weapon),throw at someone's head,
CES201606,1576,39,can,om tegen aan te schoppen,tegen schoppen,to kick against,against kicking,
CES201606,2148,51,can,tegen aan tikken voor muziek,tegen tikken muziek,tap against for music,against tapping music,
CES201606,281,13,can,een telefoon,telefoon,a telephone,telephone,
CES201606,1123,25,can,als telefoon met twee blikjes en een touwtje,telefoon blikjes touwtje,as a telephone with two cans and a string,telephone cans string,
CES201606,898,20,can,telefoon van maken met lijn ertussen,telefoon lijn ertussen,make a telephone with a line between them,telephone line between them,
CES201606,377.1,14,can,gebruiken als telefoon (je weet wel,telefoon weet wel,use as a telephone (you know,phone knows,
CES201606,1909,46,can,telefoonhoesje,telefoonhoesje,phone case,phone case,
CES201606,795,19,can,ter positie aanduiding (strategie bespreken),ter positie aanduiding,to indicate position (discuss strategy),for position indication,
CES201606,1375,30,can,thermoskan,thermoskan,thermos,thermos,
CES201606,604,17,can,een toren van blikjes maken,toren blikjes,make a tower of cans,tower cans,
CES201606,1014.1,23,can,met touw eraan en dan iets doorgeven,touw eraan doorgeven,with a string attached and then pass something on,pass rope through it,
CES201606,1125,25,can,trommel,trommel,drum,drum,
CES201606,2154,51,can,in tuin tegen katten,tuin tegen katten,in the garden against cats,garden against cats,
CES201606,1128,25,can,tunnel voor mieren of andere kleine dieren,tunnel mieren kleine dieren,tunnel for ants or other small animals,tunnel ants small animals,
