research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01,originality_rater02,utility_rater02
NAT202401,12932,2925,brick,krijtoppervlak,chalk surface,chalk surface,3,4,,
NAT202401,12977,2927,brick,briefje eraan vast knopen zodat je het hoog/ver weg kan gooien ,tie note throw highfar away,send note far by throwing,2,4,,
NAT202401,13040,2928,brick,onderzetter,coaster,coaster,2,5,,
NAT202401,13270,2933,brick,inhoud leren aan kinderen door lxbxh te laten zien met baksteen,teach content children showing lxwxh,educating children on volume of shapes,3,4,,
NAT202401,13271,2933,brick,Gebruiken om een rechthoek te tekenen op papier (omtrek),draw rectangle paper,rectangle stencil for outline,3,5,,
NAT202401,13272,2933,brick,Hoek van baksteen gebruiken om op andere steensoort te schetsen,corner sketch type,sketching,2,4,,
NAT202401,13437,2936,brick,Je kan de baksteen slijpen tot een mooie vorm en als decoratie gebruiken,grind beautiful shape decoration,grind beautiful shape decoration,2,3,,
NAT202401,13553,2938,brick,lineaal,ruler,ruler,3,5,,
NAT202401,13621,2939,brick,bord,plate,plate/board,1.7,3,,
NAT202401,13725,2940,brick,verven en als stempel gebruiken voor een kunstwerk,paint stamp work art,paint stamp art,3,3,,
NAT202401,13731,2940,brick,leuk versieren en dan door een ruit gooien bij iemand die je net wat meer mag,decorate nicely throw window little bit,decorate and throw gift,2,3,,
NAT202401,13799,2941,brick,gebruiken als bord,plate,plate/board,1.7,3,,
NAT202401,13965,2942,brick,rechte lijn maken,make straight line,"ruler, make straight line",2,5,,
NAT202401,13967,2942,brick,als bord,plate,plate,2,3,,
NAT202401,13973,2942,brick,erop tekenen met stoepkrijt,draw sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,14067,2944,brick,krijten,chalk,chalk,2,4,,
NAT202401,14135,2946,brick,krijtbordje,chalkboard,chalk board,3,4,,
NAT202401,14260,2949,brick,tekenen op ander steen,drawing stone,draw,2,4,,
NAT202401,14355,2950,brick,als onderzetter gebruiken,coaster,coaster,2,5,,
NAT202401,14488,2952,brick,mee schrijven,write,write engrave,2,3,,
NAT202401,14491,2952,brick,als bord gebruiken,plate,plate/board,1.7,3,,
NAT202401,14569,2955,brick,ermee stoepkrijten,sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,14574,2955,brick,Gebruiken als tableau om op te schrijven,tableau write,write on,2,4,,
NAT202401,14644,2956,brick,erop tekenen,draw,draw,2,4,,
NAT202401,14796,2958,brick,onderzetter,coaster,coaster,2,5,,
NAT202401,14797,2958,brick,notenkraker,nutcracker,nutcracker,3,4,,
NAT202401,14859,2960,brick,als bord,plate,plate,2,3,,
NAT202401,14860,2960,brick,als stoepkrijt,sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,14867,2960,brick,erop schrijven,write,write,1,4,,
NAT202401,15208,2969,brick,erop tekenen,draw,draw,2,4,,
NAT202401,15286,2970,brick,bord,plate,board/plate,2,3,,
NAT202401,15364,2972,brick,als pannenonderzetter,pan coaster,pan coaster,2,5,,
NAT202401,15373,2972,brick,als onderzetter voor een bloempot,coaster flower pot,coaster,2,5,,
NAT202401,15378,2972,brick,Om een rechthoek te kunnen tekenen door te omlijnen,able draw rectangle outlining,rectangle stencil for outline,3,5,,
NAT202401,36,2657,brick,flats,flats,flats,1,0,,
NAT202401,177,2660,brick,snijplank,cutting board,cutting board,3,3,,
NAT202401,16001,2660,brick,tennis schoen,tennis shoe,tennis shoe,2,2,,
NAT202401,16002,2660,brick,ren schoen,running shoe,running shoe,2,2,,
NAT202401,16003,2660,brick,sneaker,sneaker,sneaker,2,2,,
NAT202401,16004,2660,brick,leegloper,loafer,loafer,2,2,,
NAT202401,16005,2660,brick,cowboylaars,cowboy boot,cowboy boot,2,2,,
NAT202401,16006,2660,brick,laars,boot,boot,2,2,,
NAT202401,16007,2660,brick,schoenen,footwear,footwear,2,2,,
NAT202401,178,2660,brick,schoen ,shoe,shoe,2,2,,
NAT202401,182,2660,brick,kapotte baksteen = grint voor in de tuin,broken  gravel garden,gravel for garden,1,3,,
NAT202401,245,2661,brick,iets laten zinken,sink,sink,1,4,,
NAT202401,333,2664,brick,Gebruiken om een geheime boodschap aan de bodem van een zwembad te verstoppen in water,hide secret message water bottom pool,sink in water,2,4,,
NAT202401,391,2667,brick,steen,stone,stone,1,0,,
NAT202401,457,2668,brick,nagels aan vijlrn,nails files,file nails,2,3,,
NAT202401,465,2668,brick,ik kleine stukjes malen,grind small pieces,grind,2,4,,
NAT202401,474,2668,brick,In je schoen aal zool,sole shoe,sole shoe,2,2,,
NAT202401,574,2672,brick,om mee te schilderen (als je hem in de verf doopt),painting,paint brush,3,2,,
NAT202401,580,2672,brick,als scrubspons voor bij het douchen,scrub sponge showering,sponge for showering,3,2,,
NAT202401,761,2674,brick,Om iets tegenaan te schuren (voor relief of om dingen glad te maken),sand,sand paper,3,3,,
NAT202401,830,2675,brick,als zolen gebruiken,soles,shoe sole,2,2,,
NAT202401,836,2675,brick,als spatel gebruiken,spatula,spatula,3,1,,
NAT202401,838,2675,brick,als lepel gebruiken,spoon,spoon,3,1,,
NAT202401,16008,2675,brick,blad,blade,blade,1.4,2,,
NAT202401,839,2675,brick,als mes gebruiken,knife,knife,1.4,2,,
NAT202401,840,2675,brick,als tandenborstel te gebruiken,used toothbrush,toothbrush,3,2,,
NAT202401,16009,2675,brick,bezem,broom,broom,2,2,,
NAT202401,842,2675,brick,als borstel gebruiken,brush,brush,2,2,,
NAT202401,977,2676,brick,"maken tot heel klein, bijna zand",small  almost sand,make sand,2,3,,
NAT202401,1077,2677,brick,dingen doorsnijden,cutting,cutting,2,2,,
NAT202401,1079,2677,brick,schuren,sand,sand,1,3,,
NAT202401,1151,2679,brick,als je iets naar de bodem van een water wilt laten zinken stop je het in een zak met een baksteen,want sink bottom body water  put bag,sink in water,2,4,,
NAT202401,1352,2684,brick,grind,gravel,gravel,1,3,,
NAT202401,1355,2684,brick,verpulveren en gebruiken als scrub/schuurmiddel,pulverize scrubabrasive,crush into scrub,2,3,,
NAT202401,1357,2684,brick,Opbreken tot kleine whiskeystenen,Break small whiskey stones,break into stones,1,3,,
NAT202401,1358,2684,brick,Uithollen en gebruiken als pennenbakje/container,Hollow pen traycontainer,hollow out into container,3,2,,
NAT202401,1430,2685,brick,aan iemands voet vastbinden,tie s foot,tie feet,1,3,,
NAT202401,1436,2685,brick,waxinelichtje van maken door hem uit te hollen en gaatjes in te maken,turn tea light hollowing making holes,hollow into a light,3,2,,
NAT202401,1562,2687,brick,vermalen tot gravel,grind gravel,grind gravel,2,3,,
NAT202401,16010,2690,brick,scheppen,shovel,shovel,1,2,,
NAT202401,16011,2690,brick,uitgraven,excavate,excavate,1,2,,
NAT202401,1729,2690,brick,graven,dig,dig,1,2,,
NAT202401,1887,2693,brick,gewicht om iemand te laten verdrinken,weight drown,drown ,2,4,,
NAT202401,1971,2694,brick,schuurpapire,sandpaper,sandpaper,3,3,,
NAT202401,1984,2694,brick,spons,sponge,sponge,3,2,,
NAT202401,1985,2694,brick,messenslijper,knife sharpener,knife sharpener,3,3,,
NAT202401,2053,2695,brick,iets laten zinken,sink,sink,1,4,,
NAT202401,2121,2696,brick,vet zware zolen voor schoenen,fat heavy soles shoes,sole for shoe,2,2,,
NAT202401,2231,2698,brick,kapot slaan voor kleine stukjes steen,smash small pieces stone,smash into stones,1,3,,
NAT202401,2239,2698,brick,gebruiken als heel grof schuurvoorwerp,coarse sanding tool,sand,1,3,,
NAT202401,2245,2698,brick,messenslijper,knife sharpener,knife sharpener,3,3,,
NAT202401,2398,2700,brick,als opvulling voor een kuil,filler hole,fill in hole,1,4,,
NAT202401,2401,2700,brick,om andere stenen te breken,break stones,break stones,1,3,,
NAT202401,2403,2700,brick,aan je voet binden en dan in een sloot (?),tie foot put ditch,tie feet,1,3,,
NAT202401,2407,2700,brick,grint van maken,make gravel,gravel,1,3,,
NAT202401,2408,2700,brick,zand van maken,make sand,sand,1,3,,
NAT202401,2412,2700,brick,een gat erin maken en als beker gebruiken,make hole cup,hollow out into cup,3,2,,
NAT202401,2498,2701,brick,uithollen en er een kom van maken,Hollow make bowl,hollow out into cup,3,2,,
NAT202401,2558,2702,brick,kruiden malen,grind herbs,grind herbs,3,5,,
NAT202401,2635,2703,brick,in het water leggen,place water,sink in water,2,4,,
NAT202401,2639,2703,brick,slijpen ,sharpen,sharpen,2,3,,
NAT202401,2649,2703,brick,opgraven,dig,dig,1,2,,
NAT202401,2651,2703,brick,als schoen gebruiken,shoe,shoe,2,2,,
NAT202401,2763,2704,brick,pers,press,press,1,4,,
NAT202401,2768,2704,brick,drukpers,printing press,printing press,3,3,,
NAT202401,2771,2704,brick,slijpen van messen oid,sharpening knives etc,sharpening knives,3,3,,
NAT202401,2914,2708,brick,boek platmaker,book flattener,book flattener,2,5,,
NAT202401,2991,2709,brick,gat in de weg fixen,fix hole road,fill in hole,1,4,,
NAT202401,2999,2709,brick,baksteen aan iets vast maken om het te laten zinken,attaching make sink,sink in water,2,4,,
NAT202401,3004,2709,brick,baksteen in zwembad leggen om de randen naar beneden te houden,placing pool keep edges,pool tool,2,2,,
NAT202401,3008,2709,brick,gat dichten om overstroming te stoppen,fill hole stop flooding,fill in hole,1,4,,
NAT202401,3255,2714,brick,kruiden te melen,grind herbs,grind herbs,3,5,,
NAT202401,3423,2717,brick,stone,stone,stone,1,0,,
NAT202401,3439,2717,brick,grinding,grinding,grinding,2,4,,
NAT202401,3500,2718,brick,tekenening in krassen,drawing scratches,drawing scratches,2,4,,
NAT202401,3587,2719,brick,gereedschap,tools,tools,1,2,,
NAT202401,3665,2721,brick,kunstmatige steen,artificial stone,artificial stone,1,3,,
NAT202401,3668,2721,brick,grond,ground,ground,1,0,,
NAT202401,3714,2722,brick,Bastogne koekjes malen,Grinding Bastogne cookies,grind cookies,3,4,,
NAT202401,3761,2723,brick,slijpsteen,grindstone,grindstone,2,5,,
NAT202401,3825,2724,brick,je kan er kleinere stenen van maken en die gebruiken als grind ofzo,make smaller stones gravel,gravel,1,3,,
NAT202401,3826,2724,brick,gooien in het water voor de lol,throwing water fun,sink in water,2,4,,
NAT202401,3924,2726,brick,vermalen tot een soort grind,ground kind gravel,gravel,1,3,,
NAT202401,3934,2726,brick,kneuzer voor kruiden,bruiser herbs,grind herbs,3,5,,
NAT202401,4044,2729,brick,druk zetten op een stukje kippendij zodat het lekker goed aanbakt,put pressure piece chicken thigh sticks nicely,press meat,2,4,,
NAT202401,4048,2729,brick, in stukjes hakken om te gebruiken als grind,chop pieces gravel,gravel,1,3,,
NAT202401,4090,2730,brick,ijselmop,ice joke,mop,2,1,,
NAT202401,4095,2730,brick,steen ,stone,stone,1,0,,
NAT202401,4164,2731,brick,steen,stone,stone,1,0,,
NAT202401,4181,2731,brick,gebruiken in plaats van haringen om een tent rechtstaan te houden,instead pegs keep tent upright,tent nails,2,3,,
NAT202401,4182,2731,brick,kapot hameren en het gruis gebruiken om een grindpad mee aan te leggen,hammer apart grit build gravel path,hammer into gravel,2,3,,
NAT202401,4249,2735,brick,Om klein te Schafen zodat je een mooi gekleurd zandachtige substantie hebt,plan small beautifully colored sandlike substance,sand,1,3,,
NAT202401,4391,2740,brick,om vast te houden als je wilt zinken in zee ,hold want sink sea,sink in water,2,4,,
NAT202401,4490,2742,brick,Iets fijnmalenf,Grind,grinder,2,4,,
NAT202401,4500,2742,brick,iets onderwater houden,hold underwater,sink in water,2,4,,
NAT202401,4560,2745,brick,vermalen tot grind,grind gravel,grind gravel,2,3,,
NAT202401,4622,2746,brick,gebogen boek platmaken,flatten bent book,flatten book,2,5,,
NAT202401,4629,2746,brick,je kan er een takje mee slijpen,sharpen twig,sharpen twig,3,3,,
NAT202401,4714,2747,brick,platmaker voor gekreukelde papieren,flattener wrinkled papers,flatten paper,2,5,,
NAT202401,4862,2749,brick,hem aan iets binden zodat het andere voorwerp in het water zinkt,tie object sinks water,sink in water,2,4,,
NAT202401,4918,2750,brick,schuren,sand,sand,1,3,,
NAT202401,5002,2751,brick,put,well,well,1,3,,
NAT202401,5003,2751,brick,grond,ground,ground,1,0,,
NAT202401,5007,2751,brick,iets laten zinken,sink,sink in water,2,4,,
NAT202401,5099,2754,brick,een gekreukeld papier glad maken,smoothing wrinkled paper,flatten paper,2,5,,
NAT202401,5112,2754,brick,je kan er iets mee laten zinken,sink,sink in water,2,4,,
NAT202401,5206,2757,brick,"gebruiken als mes, om je brood te smeren",knife spread bread,butter knife,3,2,,
NAT202401,5207,2757,brick,een mes mee scherpen,sharpen knife,sharpen knife,3,3,,
NAT202401,5210,2757,brick,als roer gerei gebruiken,stirring utensils,stirring spoon for utensils,3,2,,
NAT202401,5265,2758,brick,in kleine stukjes hakken en het als zand neerleggen,chop small pieces place sand,sand,1,3,,
NAT202401,5272,2758,brick,over je huid vrijven en als scrub gebruiken,Rub skin scrub,skin scrub ,3,4,,
NAT202401,5273,2758,brick,gebruiken als gewicht dat je naar beneden trekt in het water (als je naar de bodem van de zee moe),weight pulls water,sink in water,2,4,,
NAT202401,5321,2759,brick,de muur mee krassen,scratch wall,scratch wall,2,4,,
NAT202401,16012,2759,brick,sandaal,sandal,sandal,2,1,,
NAT202401,5327,2759,brick,gebruiken als slippers,slippers,slippers,2,1,,
NAT202401,5385,2760,brick,papier weer rechtkrijgen door de baksteen erop te leggen,straighten paper placing,flatten paper,2,5,,
NAT202401,5386,2760,brick,nagels vijlen,filing nails,file nails,2,3,,
NAT202401,5474,2761,brick,flat ,flat,flatten,1,5,,
NAT202401,5547,2762,brick,"iets eraan vastbinden in het water, zodat het voorwerp zinkt en onder water blijft ",tying water object sinks remains submerged,sink in water,2,4,,
NAT202401,5637,2764,brick,als gewichtjes voor als je gaat zwemmen en je wilt diep duiken,weights go swimming want dive deep,"swimming weight, sink in water",2,4,,
NAT202401,5708,2766,brick,iets verdrinken,drown,"drown, sink in water",2,4,,
NAT202401,5778,2767,brick,vermorzelen tot zand,crush sand,sand,1,3,,
NAT202401,5790,2767,brick,onder je voeten binden en een soort schoen maken,tie feet make kind shoe,tie feet to make shoes,1.4,2,,
NAT202401,5791,2767,brick,je messen bot maken,blunt knives,sharpening knives,3,3,,
NAT202401,5792,2767,brick,nagels aan kapot maken,destroy nails,destroy nails,1,3,,
NAT202401,5886,2768,brick,gebruiken om iets lichts te laten zinken ,sink light,sink in water,2,4,,
NAT202401,6092,2775,brick,snijplank,cutting board,cutting board,3,3,,
NAT202401,6094,2775,brick,deeg platmaker ,dough flattener,dough flattener,2,4,,
NAT202401,6281,2779,brick,iets laten zinken,sink,sink in water,2,4,,
NAT202401,6329,2780,brick,randje maken,make edge,make edge,1,4,,
NAT202401,6411,2781,brick,een put dempen,fill well,fill well,1,4,,
NAT202401,6415,2781,brick,een sloot mee dempen,fill ditch,fill ditch,1,4,,
NAT202401,6512,2784,brick,iets mee te schuren ,sand,sand,1,3,,
NAT202401,6785,2788,brick,iets laten zinken,sink,sink in water,2,4,,
NAT202401,6850,2789,brick,gat in muur te vullen,fill hole wall,fill in hole in wall,1,5,,
NAT202401,6891,2791,brick,steen,stone,stone,1,0,,
NAT202401,7062,2793,brick,nagels vijlen,filing nails,file nails,2,3,,
NAT202401,7237,2795,brick,nagels vijlen,filing nails,filing nails,3,3,,
NAT202401,7251,2795,brick,uithollen,hollow,hollow,2,0,,
NAT202401,7330,2796,brick,Voor de maffia: mensen de zee in gooien met een baksteen aan hun benen ,mafia  throwing people sea attached legs,sink in water by tying,2,4,,
NAT202401,7331,2796,brick,Vermalen en gebruiken als gravel,Grind gravel,grind to gravel,2,3,,
NAT202401,7366,2797,brick,doe de scrub,scrub,scrub,2,4,,
NAT202401,7423,2800,brick,vermalen van kruiden,grinding herbs,grinding herbs,3,5,,
NAT202401,7425,2800,brick,om messen op te slijpen,sharpening knives,sharpening knives,3,3,,
NAT202401,7558,2805,brick,/schuurpapier,sandpaper,sandpaper,3,3,,
NAT202401,7663,2810,brick,waterput maken,make well,make well,1,3,,
NAT202401,7718,2813,brick,als schuurpapier achtig,sandpaper,sandpaper,3,3,,
NAT202401,7724,2813,brick,eten vermalen,grind food,grind food,3,5,,
NAT202401,7807,2814,brick,Je koekjesbeslag plat mee slaan,Flatten cookie batter,flatten cookie batter,3,4,,
NAT202401,7809,2814,brick,Je nagels mee vijlen,File nails,file nails,2,3,,
NAT202401,7812,2814,brick,Tekst in krassen: baksteenboek,Text scratches  book,scratch and write,2,4,,
NAT202401,7951,2816,brick,om gekreukelde papieren recht te duwen,straighten wrinkled papers,flatten wrinkled paper,2,5,,
NAT202401,7961,2816,brick,schoenen vervormen (van binnen uit),deform shoes,deform shoes,2,3,,
