response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
22481,CES201802,1782,can,asbak van maken,asbak,ashtray,2,5
22947,CES201802,1840,can,om als asbak te gebruiken,asbak,ashtray,2,5
23031,CES201802,1848,can,asbak,asbak,ashtray,2,5
23122,CES201802,1859,can,asbak,asbak,ashtray,2,5
23358,CES201802,1885,can,asbak,asbak,ashtray,2,5
23436,CES201802,1895,can,asbak,asbak,ashtray,2,5
22605,CES201802,1797,can,Attributen in bewaren,attributen bewaren,save attributes,2,5
22364,CES201802,1766,can,augurken,augurken,pickles,1,5
20242,CES201802,1486,can,auto,auto,car,3,2
21177,CES201802,1615,can,auto van maken,auto,car,3,2
22677,CES201802,1807,can,auto maken,auto,car,3,2
22727,CES201802,1813,can,Auto,auto,car,3,2
21764,CES201802,1685,can,automaat,automaat,vending machine,0,0
20797,CES201802,1556,can,autotjes,autootjes,cars,3,2
21725,CES201802,1681,can,autootjes van maken (wieltjes onderzetten),autootjes,cars,3,2
22423,CES201802,1774,can,badeentje,badeendje,rubber duck,5,2
18995,CES201802,1332,can,een bagde,badge,badge,3,3
19758,CES201802,1431,can,bait (ik weet het Nederlandse woord even niet),bait,bait,4,3
22570,CES201802,1791,can,bak,bak,bin,2,5
18939,CES201802,1328,can,bakje ,bakje,tub,2,5
19045,CES201802,1338,can,bakje,bakje,tub,2,5
19681,CES201802,1420,can,bakje,bakje,tub,2,5
19737,CES201802,1423,can,BAKJE,bakje,tub,2,5
19960,CES201802,1453,can,bakje,bakje,tub,2,5
20148,CES201802,1473,can,bakje,bakje,tub,2,5
21222,CES201802,1621,can,bakje,bakje,tub,2,5
21284,CES201802,1628,can,bakje,bakje,tub,2,5
22383,CES201802,1768,can,als bakje,bakje,tub,2,5
22553,CES201802,1789,can,bakje,bakje,tub,2,5
22649,CES201802,1803,can,bakje,bakje,tub,2,5
22769,CES201802,1815,can,bakje,bakje,tub,2,5
22863,CES201802,1829,can,bakje,bakje,tub,2,5
19606,CES201802,1414,can,bakje om eten in te bewaren,bakje eten bewaren,store container of food,2,5
19602.4,CES201802,1414,can, bakje om eten in te bewaren voor huisdier,bakje eten bewaren huisdier,pet food storage container,2,5
22391,CES201802,1770,can,je kan het als een bakje gebruiken voor bijvoorbeeld pennen,bakje oorbeeld pennen,tub of example pens,2,5
21826,CES201802,1694,can,bakje voor spullen,bakje spullen,tub of stuff,2,5
19145,CES201802,1351,can,Als bal gebruiken,bal,ball,3,4
19568,CES201802,1411,can,bal,bal,ball,3,4
19689,CES201802,1426,can,bal,bal,ball,3,4
19732,CES201802,1423,can,BAL,bal,ball,3,4
19895,CES201802,1445,can,gebruiken als bal,bal,ball,3,4
19918,CES201802,1448,can,bal,bal,ball,3,4
20078,CES201802,1466,can,Bal,bal,ball,3,4
20201,CES201802,1481,can,bal,bal,ball,3,4
20552.1,CES201802,1522,can,bal,bal,ball,3,4
20593,CES201802,1526,can,bal,bal,ball,3,4
20865,CES201802,1561,can,bal,bal,ball,3,4
22549,CES201802,1789,can,bal,bal,ball,3,4
23131,CES201802,1859,can,bal,bal,ball,3,4
20819.3,CES201802,1557,can, als bal voor een spelletje,bal spelletje,ball game,3,4
19450,CES201802,1397,can,te balanseren,balanceren,balance,3,4
21410,CES201802,1645,can,balanceren,balanceren,balance,3,4
22428,CES201802,1773,can,balans,balans,balance,3,4
18965,CES201802,1329,can,balans trucje,balans trucje,balance trick,3,4
19372,CES201802,1384,can,balen gooien,balen gooien,throwing bales,2,5
22526,CES201802,1786,can,bij het ballengooienop dekermis,ballen gooien kermis,ball throwing fair,2,5
22186,CES201802,1746,can,om balletjes naar toe te gooien,balletjes toe gooien,throw balls,2,5
19397,CES201802,1387,can,BALSPEL,balspel,ball game,2,5
20517,CES201802,1518,can,Balspel waarmee je blikjes omgooid zoals bij de kermis,balspel waarmee blikjes omgooit zoals kermis,ball game that knocks over cans like fair,2,5
22040,CES201802,1725,can,bank van maken,bank,Bank,3,2
23265,CES201802,1876,can,barbew\que,barbecue,barbecue,3,3
22125,CES201802,1737,can,op de bbq kip eroverheen,barbecue kip eroverheen,barbecue chicken over it,3,5
20867,CES201802,1561,can,barriere,barrière,barrier,3,4
22340,CES201802,1765,can,basketbal,basketbal,basketball,3,2
18762,CES201802,1307,can,\beelden object maken,beelden object,images object,3,3
19460,CES201802,1399,can,beeldhouwwerk,beeldhouwwerk,sculpture,3,3
22454,CES201802,1778,can,beerpong glas,beer pong glas,beer pong glass,3,5
22354,CES201802,1767,can,begrenzing,begrenzing,limit,2,4
22436,CES201802,1775,can,behuizing,behuizing,housing,2,4
18727,CES201802,1303,can,beker,beker,cup,2,5
18994,CES201802,1332,can,beker,beker,cup,2,5
19041,CES201802,1338,can,beker,beker,cup,2,5
19455,CES201802,1399,can,beker,beker,cup,2,5
19492,CES201802,1400,can,beker,beker,cup,2,5
19572,CES201802,1411,can,beker,beker,cup,2,5
19658,CES201802,1421,can,Beker,beker,cup,2,5
19680,CES201802,1420,can,beker,beker,cup,2,5
19733,CES201802,1423,can,BEKER,beker,cup,2,5
19764,CES201802,1428,can,beker,beker,cup,2,5
19986.1,CES201802,1451,can,beker,beker,cup,2,5
19987,CES201802,1451,can,bker,beker,cup,2,5
19994,CES201802,1451,can,beker,beker,cup,2,5
20511,CES201802,1518,can,Beker,beker,cup,2,5
20748,CES201802,1549,can,beker,beker,cup,2,5
20800,CES201802,1556,can,beker,beker,cup,2,5
20866,CES201802,1561,can,beker,beker,cup,2,5
20916,CES201802,1568,can,beker,beker,cup,2,5
21109,CES201802,1607,can,beker,beker,cup,2,5
21816,CES201802,1692,can,beker van maken,beker,cup,2,5
22175,CES201802,1744,can,beker,beker,cup,2,5
22432,CES201802,1775,can,beker,beker,cup,2,5
22562,CES201802,1791,can,beker,beker,cup,2,5
22762,CES201802,1815,can,beker,beker,cup,2,5
22842,CES201802,1827,can,beker,beker,cup,2,5
22865,CES201802,1829,can,beker,beker,cup,2,5
18908,CES201802,1324,can,Beker voor drinken,beker drinken,drink cup,2,5
19841,CES201802,1442,can,bekerhouder,bekerhouder,cup holder,2,5
21600,CES201802,1666,can,bekerhouder,bekerhouder,cup holder,2,5
22246,CES201802,1754,can,bekijken,bekijken,look at,2,5
19373,CES201802,1384,can,bel,bel,call,4,3
19465,CES201802,1399,can,bel voor op de fiets,bel fiets,call bike,4,3
23104,CES201802,1857,can,bellen,bellen,call,2,4
19238,CES201802,1362,can,beplakken,beplakken,plaster,2,5
22442,CES201802,1776,can,berg er dingen ni op,berg dingen,pile of things,2,5
22472,CES201802,1781,can,berging,berging,salvage,2,5
20892,CES201802,1564,can,beschermen van zonlicht,beschermen zonlicht,protect sunlight,2,4
22347,CES201802,1767,can,beschermend schild,beschermend schild,protective shield,3,3
18907,CES201802,1324,can,Bescherming tegen de zon,bescherming tegen zon,protection from sun,2,4
18882,CES201802,1320,can,beschilderen,beschilderen,paint,3,4
19237,CES201802,1362,can,beschilderen,beschilderen,paint,3,4
18708,CES201802,1302,can,bestek in doen,bestek,cutlery,3,5
19622,CES201802,1418,can,bestekbakje,bestekbakje,cutlery tray,2,5
19614,CES201802,1415,can,bestekhouder,bestekhouder,cutlery holder,2,5
20744,CES201802,1549,can,bestekhouder,bestekhouder,cutlery holder,2,5
21291,CES201802,1629,can,bestekhouder,bestekhouder,cutlery holder,2,5
23014,CES201802,1846,can,Bestellen,bestellen,order,2,5
19610,CES201802,1415,can,betaalmiddel,betaalmiddel,means of payment,4,2
20915,CES201802,1568,can,bewaar bakje,bewaar bakje,save container,1,5
21189,CES201802,1616,can,bewaar blik voor dingen,bewaar blik dingen,save canned things,1,5
19608,CES201802,1415,can,bewaar ding,bewaar ding,save thing,1,5
23264,CES201802,1876,can,bewaarpot,bewaar pot,save jar,1,5
21647,CES201802,1670,can,bewaarbakje,bewaarbakje,storage container,1,5
23510,CES201802,1903,can,bewaarbakje,bewaarbakje,storage container,1,5
20819.5,CES201802,1557,can, als bewaarder voor ander,bewaarder ander,custodian other,1,5
22959,CES201802,1839,can,bewaardoosje,bewaardoosje,storage box,1,5
19254,CES201802,1364,can,iets in te doen om het te bewaren,bewaren,save,1,5
19378,CES201802,1384,can,opbewaren,bewaren,save,1,5
19588,CES201802,1413,can,bewaren,bewaren,save,1,5
20540,CES201802,1523,can,iets in bewaren,bewaren,save,1,5
21015,CES201802,1577,can,iets in bewaren ,bewaren,save,1,5
21130,CES201802,1609,can,iets in bewaren,bewaren,save,1,5
21374,CES201802,1638,can,iets in bewaren,bewaren,save,1,5
23492,CES201802,1900,can,bewaren,bewaren,save,1,5
23526,CES201802,1906,can,bewaren,bewaren,save,1,5
18868,CES201802,1318,can,bewaren van spullen,bewaren spullen,store things,1,5
20982,CES201802,1571,can,iemand bewusteloos slaan,bewusteloos slaan,knock out,2,4
22763,CES201802,1815,can,bidon,bidon,bottle,2,5
20323,CES201802,1498,can,bier,bier,beer,1,5
20383,CES201802,1505,can,bier,bier,beer,1,5
20807,CES201802,1555,can,bier,bier,beer,1,5
20995,CES201802,1573,can,bier,bier,beer,1,5
21169,CES201802,1615,can,bier,bier,beer,1,5
21182,CES201802,1616,can,bier,bier,beer,1,5
21495,CES201802,1650,can,bier,bier,beer,1,5
21950,CES201802,1713,can,bier,bier,beer,1,5
21998,CES201802,1720,can,bier,bier,beer,1,5
22711,CES201802,1811,can,Bier,bier,beer,1,5
22781,CES201802,1820,can,Bier,bier,beer,1,5
22849,CES201802,1827,can,bier,bier,beer,1,5
23186,CES201802,1867,can,bier,bier,beer,1,5
23341,CES201802,1886,can,bier,bier,beer,1,5
23393,CES201802,1890,can,bier,bier,beer,1,5
22685,CES201802,1807,can,bier drinken,bier drinken,drinking beer,1,5
22912,CES201802,1835,can,bier dirnken,bier drinken,drinking beer,1,5
19013,CES201802,1334,can,biertje mee openen,biertje openen,open beer,2,5
22415,CES201802,1774,can,bierzwaarden spel,bierzwaarden spel,beer swords game,2,5
22715.1,CES201802,1811,can,Blaadjes tegenhouden,blaadjes tegenhouden,collect leaves,2,5
18923,CES201802,1325,can,blik op werken op zetten,blik werken zetten,put can work,2,5
19329,CES201802,1376,can,Blikwerpen,blik werpen,take look,2,5
21650,CES201802,1670,can,blikwerpen,blik werpen,take look,2,5
19356,CES201802,1383,can,blikje,blikje,can,1,5
22128,CES201802,1737,can,blikje,blikje,can,1,5
21012,CES201802,1576,can,blikje gooien,blikje gooien,throw can,2,5
22146,CES201802,1741,can,blikje gooien een spel,blikje gooien spel,can throwing game,2,5
22776,CES201802,1819,can,blikje van milieuvriendelijk materiaal,blikje milieuvriendelijk materiaal,can environmentally friendly material,2,5
22775,CES201802,1819,can,blikje dat niet lekt,blikje niet lekt,can is not leaking,2,5
22777,CES201802,1819,can,blikje van papier dat te recyclen is,blikje papier recyclen,recycle can of paper,2,3
21435,CES201802,1643,can,blikje schilderen,blikje schilderen,can painting,3,4
23383,CES201802,1888,can,blikje schilderen,blikje schilderen,can painting,3,4
19956,CES201802,1450,can,blikje tonijn aan de kat geven,blikje tonijn kat geven,can of tuna to give to cat,2,5
20509,CES201802,1518,can,Blikje trap,blikje trap,can stairs,3,5
21181,CES201802,1616,can,blikje trap (spelletje),blikje trap,can stairs,3,5
18968,CES201802,1329,can,blikje trap spelen,blikje trap spelen,play can kick,3,5
22411,CES201802,1774,can,blikje in de water,blikje water,can of water,0,0
18605,CES201802,1292,can,een blikjes auto,blikjes auto,can car,3,3
20844,CES201802,1560,can,Blikjes dier mee knutselen,blikjes dier knutselen,tin can animal crafts,3,3
21236,CES201802,1622,can,twee blikjes maakt een telefoon,blikjes maakt telefoon,cans makes phone,2,4
20960,CES201802,1572,can,blikjes opstapelen,blikjes opstapelen,stacking cans,2,5
18606,CES201802,1292,can,een blikjes raket,blikjes raket,can rocket,3,4
19955,CES201802,1450,can,blikjes sparen,blikjes sparen,save cans,2,5
19090,CES201802,1342,can,blikjes verven ter decoratie,blikjes verven ter decoratie,paint cans for decoration,3,4
22414,CES201802,1774,can,blikjesfundering,blikjesfundering,can foundation,3,3
23429,CES201802,1895,can,Blikjeshuis bouwen voor kinderen,blikjeshuis bouwen kinderen,children can building house,3,4
22413,CES201802,1774,can,blikjestoren,blikjestoren,can tower,2,5
22451,CES201802,1778,can,blikjetrap,blikjetrap,can stairs,3,5
20810,CES201802,1555,can,blikken,blikken,looks,1,5
22744,CES201802,1817,can,blikkenman uit wizard of OZ,blikken man Wizard Oz,tin man Wizard Oz,2,5
19976,CES201802,1455,can,blikken toren bouwen om om te gooien,blikken toren bouwen gooien,building tin tower throwing,2,5
20390,CES201802,1505,can,blikkenvanger,blikkenvanger,eye-catcher,0,0
23146,CES201802,1862,can,blikkie trap,blikkie trap,tin kick,3,5
18561,CES201802,1283,can,blikkie trap spelen,blikkie trap spelen,playing tin can kick,3,5
19823,CES201802,1436,can,blikkie trap spellejte van vroeger,blikkie trap spellejte vroeger,can kick games in past,3,5
21842,CES201802,1696,can,Bliklopen,bliklopen,stilts,3,5
23273,CES201802,1876,can,bliklopen,bliklopen,stilts,3,5
23272,CES201802,1876,can,blikmannen,blikmannen,tin men,0,0
19081,CES201802,1342,can,blikopener,blikopener,can opener,2,3
20278,CES201802,1493,can,blikopener,blikopener,can opener,2,3
21076,CES201802,1592,can,blikopener gebruiken,blikopener,can opener,2,3
23106,CES201802,1857,can,blikopener,blikopener,can opener,2,3
18952.2,CES201802,1330,can, bliktelefoon,bliktelefoon,can phone,2,4
18953,CES201802,1330,can,bliktelefoon,bliktelefoon,can phone,2,4
22390,CES201802,1770,can,je kan er een bloem in doen en als vaas gebruiken,bloem vaas,flower vase,2,5
18861,CES201802,1317,can,bloembak,bloembak,flower box,2,5
21141,CES201802,1610,can,bloembak,bloembak,flower box,2,5
21095,CES201802,1605,can,bloemen houder,bloemen houder,flower holder,2,5
19284,CES201802,1369,can,bloemenvaas,bloemenvaas,flower vase,2,5
21531,CES201802,1658,can,bloemetje in zetten,bloemetje zetten,put flowers,2,5
18581,CES201802,1289,can,bloemetjes inzetten,bloemetjes inzetten,insert flowers,2,5
18651,CES201802,1295,can,bloempot,bloempot,flowerpot,2,5
18764,CES201802,1307,can,bloempot,bloempot,flowerpot,2,5
19248,CES201802,1365,can,bloempot,bloempot,flowerpot,2,5
19619,CES201802,1418,can,bloempot,bloempot,flowerpot,2,5
21227,CES201802,1622,can,bloempot,bloempot,flowerpot,2,5
22350,CES201802,1767,can,bloempot,bloempot,flowerpot,2,5
22551,CES201802,1789,can,bloempot,bloempot,flowerpot,2,5
18594,CES201802,1287,can,bloempotje,bloempotje,flower pot,2,5
21193,CES201802,1617,can,bloempotje,bloempotje,flower pot,2,5
21287,CES201802,1629,can,gebruiken als bloempotje,bloempotje,flower pot,2,5
22955,CES201802,1839,can,bloempotje,bloempotje,flower pot,2,5
23270,CES201802,1876,can,bloempotten,bloempotten,flower pots,2,5
19842,CES201802,1442,can,bloemvaas,bloemvaas,flower vase,2,5
21687,CES201802,1676,can,de bodem/deksel eruit halen en als koker gebruiken,bodem deksel eruit halen koker,Remove bottom lid tube,2,5
19152,CES201802,1351,can,Met de bodem een perfect rondje tekenen,bodem perfect rondje tekenen,draw perfect circle at bottom,3,5
22190,CES201802,1746,can,bodem verwijderen en als armband ,bodem verwijderen armband,bottom remove bracelet,3,4
22422,CES201802,1774,can,boei,boei,buoy,4,4
22724,CES201802,1813,can,Biek,boek,book,4,1
18710,CES201802,1302,can,boekenhouder,boekenhouder,book holder,3,5
20547,CES201802,1522,can,boekenhouder,boekenhouder,book holder,3,5
22456,CES201802,1778,can,boekenhouder,boekenhouder,book holder,3,5
22765,CES201802,1815,can,boekenlegger,boekenlegger,bookmark,3,3
23500,CES201802,1902,can,boekenlegger,boekenlegger,bookmark,3,3
19623,CES201802,1418,can,boekensteun,boekensteun,bookend,3,5
19569,CES201802,1411,can,boekenstop,boekenstop,bookstop,3,5
21453,CES201802,1647,can,boekenstop,boekenstop,bookstop,3,5
22174,CES201802,1744,can,bom,bom,bomb,4,3
19083,CES201802,1342,can,bonen,bonen,beans,1,5
20325,CES201802,1498,can,bonen,bonen,beans,1,5
21404,CES201802,1641,can,bong,bong,bong,2,5
22755,CES201802,1814,can,bong,bong,bong,2,5
22378,CES201802,1766,can,boontjes,boontjes,Beans,1,5
23520,CES201802,1905,can,boot,boot,boat,3,3
18970,CES201802,1329,can,bootje,bootje,boat,3,3
20285,CES201802,1495,can,een bootje van maken,bootje,boat,3,3
20351,CES201802,1500,can,bootje,bootje,boat,3,3
22664,CES201802,1805,can,bootje,bootje,boat,3,3
20684,CES201802,1538,can,als bootje om in plassen mee te spelen,bootje plassen spelen,play boat puddles,3,3
19456,CES201802,1399,can,bord,bord,plate,3,3
20403,CES201802,1506,can,bord,bord,plate,3,3
20559,CES201802,1525,can,bord,bord,plate,3,3
20861,CES201802,1561,can,bord,bord,plate,3,3
22569,CES201802,1791,can,bord,bord,plate,3,3
19039,CES201802,1338,can,bordje,bordje,plate,3,3
20617,CES201802,1533,can,bordje,bordje,plate,3,3
21007.6,CES201802,1575,can, bordspel mee maken,bordspel,board game,3,4
22638,CES201802,1803,can,boter,boter,butter,1,5
19451,CES201802,1397,can,bottle flip,bottle flip,bottle flip,4,4
22441,CES201802,1776,can,bouw en een toren mee,bouw toren,construction tower,2,5
21419,CES201802,1645,can,bouwen,bouwen,build,2,5
21479,CES201802,1651,can,bouwen,bouwen,build,2,5
21591,CES201802,1663,can,bouwen,bouwen,build,2,5
22043,CES201802,1726,can,iets vanbouwen,bouwen,build,2,5
22198,CES201802,1747,can,om iets mee te bouwen,bouwen,build,2,5
23348,CES201802,1886,can,bouwen,bouwen,build,2,5
23532,CES201802,1906,can,bouwen,bouwen,build,2,5
19403,CES201802,1387,can,bouwmateriaal,bouwmateriaal,building material,2,5
19761,CES201802,1428,can,bouwmateriaal,bouwmateriaal,building material,2,5
23355,CES201802,1885,can,bouwmateriaal,bouwmateriaal,building material,2,5
23403,CES201802,1890,can,bouwmateriaal,bouwmateriaal,building material,2,5
18653,CES201802,1295,can,bouwsteen,bouwsteen,building block,2,5
19651,CES201802,1421,can,Bouwsteen,bouwsteen,building block,2,5
20620,CES201802,1533,can,bouwsteen,bouwsteen,building block,2,5
22239,CES201802,1753,can,als bouwsteen voor een huis,bouwsteen huis,building block house,2,5
20256.6,CES201802,1489,can, voor bouwwerk gebruiken,bouwwerk,building,2,5
20695,CES201802,1541,can,bovenkant eraf halen en als bakje gebruiken,bovenkant eraf halen bakje,remove top of container,2,5
22180,CES201802,1745,can,bovenkant opensnijden en gebruiken als bakje,bovenkant opensnijden bakje,cut open top of container,2,5
19170,CES201802,1353,can,bowlen,bowlen,bowling,3,3
21594,CES201802,1663,can,bowlen,bowlen,bowling,3,3
23316,CES201802,1878,can,bowlen,bowlen,bowling,3,3
18909,CES201802,1324,can,Bowling kegel,bowling kegel,bowling cone,3,3
22693,CES201802,1809,can,breken,breken,break,2,3
23126,CES201802,1859,can,briefhouder,briefhouder,letter holder,2,4
19519,CES201802,1404,can,bril,bril,glasses,3,3
19459,CES201802,1399,can,broche,broche,brooch,4,4
20795,CES201802,1556,can,bruiloftslinger,bruiloft slinger,wedding garland,3,5
20803,CES201802,1555,can,buigen,buigen,bow,2,4
18636,CES201802,1290,can,buiten,buiten,outside,0,0
21147,CES201802,1610,can,buitenspeel instrument door er op te staan,buitenspeel instrument staan,outdoor playing instrument,3,3
22426,CES201802,1773,can,buitenspelen,buitenspelen,playing outside,3,3
22669,CES201802,1805,can,cadeau,cadeau,gift,3,4
21765,CES201802,1685,can,cadeau geven,cadeau geven,give present,3,4
18578,CES201802,1289,can,een camera opzetten,camera opzetten,set up camera,4,5
23499,CES201802,1902,can,camerastandaard,camerastandaard,camera stand,4,5
22000,CES201802,1720,can,chef boyardi,chef boyardi,chef boyardi,0,0
22567,CES201802,1791,can,cirkel snijder,cirkel snijder,circle cutter,3,4
18663,CES201802,1294,can,cirkel tekeken,cirkel tekenen,draw circle,3,5
21895,CES201802,1705,can,cirkel tekenen,cirkel tekenen,draw circle,3,5
20380,CES201802,1505,can,33 cl,cl,cl,0,0
20381,CES201802,1505,can,15cl,cl,cl,0,0
22934,CES201802,1837,can,cocktailglas,cocktailglas,cocktail glass,2,4
18633,CES201802,1290,can,cola,cola,coke,1,5
20319,CES201802,1498,can,cola,cola,coke,1,5
20371,CES201802,1505,can,cola,cola,coke,1,5
20991,CES201802,1573,can,cola,cola,coke,1,5
21665,CES201802,1672,can,cola,cola,coke,1,5
21995,CES201802,1720,can,cola,cola,coke,1,5
22155,CES201802,1742,can,cola,cola,coke,1,5
22356,CES201802,1766,can,cola,cola,coke,1,5
22521,CES201802,1786,can,cola,cola,coke,1,5
22914,CES201802,1835,can,cola,cola,coke,1,5
22989.1,CES201802,1843,can,cola,cola,coke,1,5
22989.1,CES201802,1843,can, tunnel,cola,coke,1,5
23011,CES201802,1846,can,cola,cola,coke,1,5
23078,CES201802,1854,can,cola,cola,coke,1,5
23187,CES201802,1867,can,cola,cola,coke,1,5
23295,CES201802,1880,can,cola,cola,coke,1,5
18735,CES201802,1303,can,cola in bewaren,cola bewaren,save cola,1,5
22475,CES201802,1782,can,cola drinken,cola drinken,drink cola,1,5
23437,CES201802,1895,can,cola indoen,cola indoen,put in coke,1,5
22372,CES201802,1766,can,cola zero,cola zero,coke zero,1,5
22299,CES201802,1759,can,als coldpack gebruiken,cold pack,cold pack,4,4
20398,CES201802,1506,can,communicatie,communicatie,communication,2,4
20764,CES201802,1551,can,communicatie,communicatie,communication,2,4
22471,CES201802,1781,can,communicatie,communicatie,communication,2,4
20943,CES201802,1570,can,gebruiken voor een communicatie middel met een touwtje,communicatie middel touwtje,communication tool string,2,4
21601,CES201802,1666,can,communicatieapparaat,communicatieapparaat,communication device,2,4
19969,CES201802,1455,can,communicatiemiddel,communicatiemiddel,means of communication,2,4
20683,CES201802,1538,can,als communicatiemiddel (2 bikjes tussen een touwtje),communicatiemiddel,means of communication,2,4
21840,CES201802,1696,can,Communicatiemiddel,communicatiemiddel,means of communication,2,4
